sweep,param,algorithm,trial,time_avg_spread,min_group_reach,runtime_s,n_seeds,round0_cost,group0_reach,group1_reach,group2_reach
alpha,1.0,kkt_greedy,0,59.2,0.33999999999999997,0.014659518000371463,20,100,0.33999999999999997,0.4174999999999999,0.5949999999999999
alpha,1.0,fair_greedy,0,62.03333333333333,0.37,0.014041256000382418,20,100,0.37,0.5016666666666666,0.5761111111111111
alpha,1.0,imm,0,59.233333333333334,0.2783333333333334,0.014050806000341254,20,100,0.2783333333333334,0.37666666666666665,0.6433333333333333
alpha,1.0,robust_kempe,0,58.233333333333334,0.3250000000000001,0.015308512000046903,15,75,0.3250000000000001,0.33833333333333326,0.6366666666666667
alpha,1.0,repeated_greedy,0,99.66666666666667,0.8066666666666665,8.34052593999968,,,0.8066666666666665,0.8233333333333334,0.8433333333333333
alpha,1.0,mf_bwi_fair,0,100.86666666666666,0.55,0.23502033400018263,,,0.55,0.8608333333333332,0.923888888888889
alpha,0.5,kkt_greedy,0,59.2,0.33999999999999997,0.014659518000371463,20,100,0.33999999999999997,0.4174999999999999,0.5949999999999999
alpha,0.5,fair_greedy,0,62.03333333333333,0.37,0.014041256000382418,20,100,0.37,0.5016666666666666,0.5761111111111111
alpha,0.5,imm,0,59.233333333333334,0.2783333333333334,0.014050806000341254,20,100,0.2783333333333334,0.37666666666666665,0.6433333333333333
alpha,0.5,robust_kempe,0,58.233333333333334,0.3250000000000001,0.015308512000046903,15,75,0.3250000000000001,0.33833333333333326,0.6366666666666667
alpha,0.5,repeated_greedy,0,99.66666666666667,0.8066666666666665,8.34052593999968,,,0.8066666666666665,0.8233333333333334,0.8433333333333333
alpha,0.5,mf_bwi_fair,0,102.33333333333333,0.6433333333333331,0.21123721599997225,,,0.6433333333333331,0.8716666666666666,0.91
alpha,0.0,kkt_greedy,0,59.2,0.33999999999999997,0.014659518000371463,20,100,0.33999999999999997,0.4174999999999999,0.5949999999999999
alpha,0.0,fair_greedy,0,62.03333333333333,0.37,0.014041256000382418,20,100,0.37,0.5016666666666666,0.5761111111111111
alpha,0.0,imm,0,59.233333333333334,0.2783333333333334,0.014050806000341254,20,100,0.2783333333333334,0.37666666666666665,0.6433333333333333
alpha,0.0,robust_kempe,0,58.233333333333334,0.3250000000000001,0.015308512000046903,15,75,0.3250000000000001,0.33833333333333326,0.6366666666666667
alpha,0.0,repeated_greedy,0,99.66666666666667,0.8066666666666665,8.34052593999968,,,0.8066666666666665,0.8233333333333334,0.8433333333333333
alpha,0.0,mf_bwi_fair,0,102.76666666666667,0.6500000000000001,0.24009078500057512,,,0.6500000000000001,0.865,0.9194444444444445
alpha,-2.0,kkt_greedy,0,59.2,0.33999999999999997,0.014659518000371463,20,100,0.33999999999999997,0.4174999999999999,0.5949999999999999
alpha,-2.0,fair_greedy,0,62.03333333333333,0.37,0.014041256000382418,20,100,0.37,0.5016666666666666,0.5761111111111111
alpha,-2.0,imm,0,59.233333333333334,0.2783333333333334,0.014050806000341254,20,100,0.2783333333333334,0.37666666666666665,0.6433333333333333
alpha,-2.0,robust_kempe,0,58.233333333333334,0.3250000000000001,0.015308512000046903,15,75,0.3250000000000001,0.33833333333333326,0.6366666666666667
alpha,-2.0,repeated_greedy,0,99.66666666666667,0.8066666666666665,8.34052593999968,,,0.8066666666666665,0.8233333333333334,0.8433333333333333
alpha,-2.0,mf_bwi_fair,0,103.26666666666667,0.6916666666666668,0.23435999199955404,,,0.6916666666666668,0.8741666666666668,0.9077777777777778
alpha,-8.0,kkt_greedy,0,59.2,0.33999999999999997,0.014659518000371463,20,100,0.33999999999999997,0.4174999999999999,0.5949999999999999
alpha,-8.0,fair_greedy,0,62.03333333333333,0.37,0.014041256000382418,20,100,0.37,0.5016666666666666,0.5761111111111111
alpha,-8.0,imm,0,59.233333333333334,0.2783333333333334,0.014050806000341254,20,100,0.2783333333333334,0.37666666666666665,0.6433333333333333
alpha,-8.0,robust_kempe,0,58.233333333333334,0.3250000000000001,0.015308512000046903,15,75,0.3250000000000001,0.33833333333333326,0.6366666666666667
alpha,-8.0,repeated_greedy,0,99.66666666666667,0.8066666666666665,8.34052593999968,,,0.8066666666666665,0.8233333333333334,0.8433333333333333
alpha,-8.0,mf_bwi_fair,0,104.6,0.8033333333333333,0.20870444100000896,,,0.8033333333333333,0.8666666666666667,0.8977777777777778
alpha,1.0,kkt_greedy,1,47.1,0.19333333333333333,0.012601311999787868,20,100,0.19333333333333333,0.30666666666666664,0.5161111111111111
alpha,1.0,fair_greedy,1,57.36666666666667,0.4333333333333333,0.013108759999340691,20,100,0.4566666666666666,0.4333333333333333,0.5150000000000001
alpha,1.0,imm,1,59.13333333333333,0.2983333333333333,0.01404658599949471,20,100,0.2983333333333333,0.3391666666666667,0.66
alpha,1.0,robust_kempe,1,54.13333333333333,0.3425,0.012809990000278049,14,70,0.3483333333333334,0.3425,0.5577777777777777
alpha,1.0,repeated_greedy,1,98.66666666666667,0.8100000000000003,8.228249697000138,,,0.8366666666666664,0.8100000000000003,0.8255555555555555
alpha,1.0,mf_bwi_fair,1,98.53333333333333,0.39166666666666666,0.23328448500069499,,,0.39166666666666666,0.8575,0.94
