sweep,param,algorithm,trial,time_avg_spread,min_group_reach,runtime_s,n_seeds,round0_cost,group0_reach,group1_reach,group2_reach
alpha,1.0,kkt_greedy,0,98.83333333333333,0.612,0.040763291000075697,25,125,0.686,0.612,0.6786666666666666
alpha,1.0,fair_greedy,0,103.0,0.6633333333333336,0.04169475000071543,25,125,0.6953333333333335,0.6633333333333336,0.7013333333333333
alpha,1.0,imm,0,105.5,0.6913333333333334,0.041886053999405704,25,125,0.6913333333333334,0.716,0.7026666666666667
alpha,1.0,robust_kempe,0,103.93333333333334,0.6766666666666669,0.04299805699974968,18,90,0.6766666666666669,0.684,0.7180000000000002
alpha,1.0,repeated_greedy,0,125.5,0.8193333333333332,6.445519635999517,,,0.8400000000000004,0.8193333333333332,0.8506666666666669
alpha,1.0,mf_bwi_fair,0,135.36666666666667,0.8966666666666668,0.5386219120000533,,,0.8966666666666668,0.8993333333333335,0.9113333333333336
alpha,0.0,kkt_greedy,0,98.83333333333333,0.612,0.040763291000075697,25,125,0.686,0.612,0.6786666666666666
alpha,0.0,fair_greedy,0,103.0,0.6633333333333336,0.04169475000071543,25,125,0.6953333333333335,0.6633333333333336,0.7013333333333333
alpha,0.0,imm,0,105.5,0.6913333333333334,0.041886053999405704,25,125,0.6913333333333334,0.716,0.7026666666666667
alpha,0.0,robust_kempe,0,103.93333333333334,0.6766666666666669,0.04299805699974968,18,90,0.6766666666666669,0.684,0.7180000000000002
alpha,0.0,repeated_greedy,0,125.5,0.8193333333333332,6.445519635999517,,,0.8400000000000004,0.8193333333333332,0.8506666666666669
alpha,0.0,mf_bwi_fair,0,135.93333333333334,0.9033333333333335,0.5420141470003728,,,0.9080000000000001,0.9073333333333335,0.9033333333333335
alpha,-4.0,kkt_greedy,0,98.83333333333333,0.612,0.040763291000075697,25,125,0.686,0.612,0.6786666666666666
alpha,-4.0,fair_greedy,0,103.0,0.6633333333333336,0.04169475000071543,25,125,0.6953333333333335,0.6633333333333336,0.7013333333333333
alpha,-4.0,imm,0,105.5,0.6913333333333334,0.041886053999405704,25,125,0.6913333333333334,0.716,0.7026666666666667
alpha,-4.0,robust_kempe,0,103.93333333333334,0.6766666666666669,0.04299805699974968,18,90,0.6766666666666669,0.684,0.7180000000000002
alpha,-4.0,repeated_greedy,0,125.5,0.8193333333333332,6.445519635999517,,,0.8400000000000004,0.8193333333333332,0.8506666666666669
