sweep,param,algorithm,trial,time_avg_spread,min_group_reach,runtime_s,n_seeds,round0_cost,group0_reach,group1_reach,group2_reach
beta,0.0,kkt_greedy,0,124.26666666666667,0.8113333333333335,0.04988138099997741,25,125,0.8580000000000002,0.8113333333333335,0.8160000000000005
beta,0.0,fair_greedy,0,124.7,0.8213333333333335,0.05451853700014908,25,125,0.8506666666666668,0.8213333333333335,0.8220000000000002
beta,0.0,imm,0,127.63333333333334,0.8226666666666669,0.05561935599962453,25,125,0.8540000000000002,0.8226666666666669,0.876
beta,0.0,robust_kempe,0,119.9,0.7913333333333333,0.05527454000002763,19,95,0.8133333333333337,0.7933333333333334,0.7913333333333333
beta,0.0,mf_bwi_fair,0,137.26666666666668,0.91,0.6247297699992487,,,0.91,0.912,0.9233333333333335
beta,0.0,repeated_greedy,0,135.4,0.9000000000000002,7.168423692999568,,,0.9000000000000002,0.9053333333333334,0.9026666666666668
beta,0.15,kkt_greedy,0,112.13333333333334,0.7333333333333333,0.04285998700015625,25,125,0.7533333333333334,0.7333333333333333,0.756
beta,0.15,fair_greedy,0,110.06666666666666,0.7206666666666669,0.042666314000598504,25,125,0.7373333333333336,0.7206666666666669,0.7433333333333335
beta,0.15,imm,0,111.73333333333333,0.7339999999999998,0.04317314199943212,25,125,0.7493333333333333,0.7339999999999998,0.7513333333333334
beta,0.15,robust_kempe,0,114.26666666666667,0.7326666666666668,0.04620544899989909,19,95,0.7993333333333335,0.7533333333333336,0.7326666666666668
beta,0.15,mf_bwi_fair,0,135.5,0.8946666666666668,0.5635982690000674,,,0.9126666666666667,0.9026666666666667,0.8946666666666668
beta,0.15,repeated_greedy,0,129.7,0.860666666666667,6.605265029999828,,,0.862666666666667,0.860666666666667,0.8706666666666668
beta,0.3,kkt_greedy,0,101.23333333333333,0.6586666666666666,0.04105118500046956,25,125,0.6759999999999999,0.6900000000000001,0.6586666666666666
beta,0.3,fair_greedy,0,104.36666666666666,0.6839999999999999,0.04001679199973296,25,125,0.6906666666666668,0.7126666666666668,0.6839999999999999
beta,0.3,imm,0,104.06666666666666,0.6766666666666664,0.03920001499955106,25,125,0.6993333333333334,0.6766666666666664,0.7053333333333335
beta,0.3,robust_kempe,0,104.03333333333333,0.6686666666666667,0.0392509080002128,19,95,0.732,0.6686666666666667,0.6799999999999999
beta,0.3,mf_bwi_fair,0,133.63333333333333,0.8793333333333336,0.5150700999993205,,,0.8993333333333335,0.8940000000000001,0.8793333333333336
beta,0.3,repeated_greedy,0,126.23333333333333,0.8373333333333333,6.397172448999299,,,0.8373333333333333,0.8380000000000003,0.8493333333333334
beta,0.5,kkt_greedy,0,91.9,0.5999999999999999,0.03532861700023204,25,125,0.5999999999999999,0.6053333333333332,0.6326666666666667
beta,0.5,fair_greedy,0,93.43333333333334,0.5746666666666668,0.03554712499953894,25,125,0.6519999999999998,0.5746666666666668,0.642
beta,0.5,imm,0,95.7,0.614,0.037059610999676806,25,125,0.642,0.614,0.658
beta,0.5,robust_kempe,0,90.03333333333333,0.5839999999999999,0.03476754300027096,19,95,0.5839999999999999,0.596,0.6206666666666667
beta,0.5,mf_bwi_fair,0,133.96666666666667,0.8813333333333336,0.5109897600004842,,,0.9080000000000001,0.8900000000000003,0.8813333333333336
