sweep,param,algorithm,trial,time_avg_spread,min_group_reach,runtime_s,n_seeds,round0_cost,group0_reach,group1_reach,group2_reach,group3_reach,group4_reach,group5_reach
beta,0.0,kkt_greedy,0,693.4,0.4576923076923076,0.37688852800010864,40,200,0.7473737373737374,0.6922424242424243,0.591561181434599,0.546031746031746,0.4576923076923076,0.5811904761904764
beta,0.0,fair_greedy,0,639.2333333333333,0.42820512820512807,0.20439291899992895,40,200,0.7024242424242426,0.6294545454545456,0.5367088607594936,0.49880952380952387,0.42820512820512807,0.5302380952380953
beta,0.0,imm,0,696.0,0.49017094017094004,0.2341192180001599,40,200,0.7600000000000001,0.7213333333333333,0.5664556962025317,0.49523809523809537,0.49017094017094004,0.5535714285714287
beta,0.0,robust_kempe,0,650.6666666666666,0.44102564102564096,0.20600529200009987,32,160,0.7221212121212123,0.6626666666666667,0.5257383966244726,0.48174603174603164,0.44102564102564096,0.5157142857142858
beta,0.0,mf_bwi_fair,0,766.6666666666666,0.6674603174603174,3.2743967559999874,,,0.7856565656565657,0.6980606060606059,0.6791139240506329,0.6674603174603174,0.685042735042735,0.7045238095238096
beta,0.0,repeated_greedy,0,760.5333333333333,0.5846153846153848,231.81146220699975,,,0.8231313131313132,0.7292121212121212,0.6565400843881856,0.5952380952380953,0.5846153846153848,0.6359523809523808
beta,0.15,kkt_greedy,0,604.8,0.36538461538461525,0.2045079499998792,40,200,0.6603030303030303,0.6253333333333334,0.46286919831223616,0.42539682539682544,0.36538461538461525,0.554047619047619
beta,0.15,fair_greedy,0,602.9333333333333,0.4273504273504272,0.19446758599997338,40,200,0.6305050505050505,0.6133333333333334,0.5559071729957806,0.43373015873015863,0.4273504273504272,0.49
beta,0.15,imm,0,619.7666666666667,0.3564102564102563,0.19369430799997644,40,200,0.7006060606060607,0.6476363636363636,0.4926160337552743,0.4226190476190476,0.3564102564102563,0.49523809523809526
beta,0.15,robust_kempe,0,583.9666666666667,0.3666666666666666,0.18630647000009048,32,160,0.6797979797979798,0.5842424242424242,0.45907172995780593,0.3813492063492063,0.3666666666666666,0.4699999999999999
beta,0.15,mf_bwi_fair,0,700.3333333333334,0.6154761904761904,3.1222427120001157,,,0.7025252525252524,0.6376969696969698,0.6350210970464134,0.6154761904761904,0.6508547008547009,0.6452380952380953
beta,0.15,repeated_greedy,0,712.4666666666667,0.49316239316239296,216.50337732799971,,,0.7695959595959596,0.7014545454545454,0.6213080168776371,0.5047619047619047,0.49316239316239296,0.6183333333333335
beta,0.3,kkt_greedy,0,565.1,0.35641025641025637,0.18161023899983775,40,200,0.6274747474747476,0.5866666666666668,0.45189873417721516,0.3996031746031745,0.35641025641025637,0.4566666666666667
beta,0.3,fair_greedy,0,546.7666666666667,0.3393162393162393,0.16992439899968304,40,200,0.5730303030303031,0.5539393939393941,0.4856540084388185,0.4345238095238094,0.3393162393162393,0.4688095238095238
beta,0.3,imm,0,579.6333333333333,0.3217948717948718,0.17851721799979714,40,200,0.635050505050505,0.6208484848484849,0.4791139240506329,0.3694444444444445,0.3217948717948718,0.48214285714285704
beta,0.3,robust_kempe,0,528.8666666666667,0.33376068376068374,0.16501986100001886,32,160,0.6064646464646466,0.5396363636363636,0.42405063291139233,0.3571428571428571,0.33376068376068374,0.4092857142857143
beta,0.3,mf_bwi_fair,0,691.9333333333333,0.621097046413502,3.243684625000242,,,0.6912121212121211,0.638060606060606,0.621097046413502,0.6400793650793651,0.6256410256410256,0.6261904761904762
beta,0.3,repeated_greedy,0,678.5,0.458119658119658,205.373665609,,,0.731919191919192,0.6767272727272728,0.5843881856540084,0.5047619047619049,0.458119658119658,0.5742857142857143
beta,0.5,kkt_greedy,0,496.1666666666667,0.26880341880341885,0.1610599379996529,40,200,0.5501010101010101,0.5226666666666666,0.38607594936708867,0.38373015873015864,0.26880341880341885,0.40499999999999997
beta,0.5,fair_greedy,0,502.6333333333333,0.2952991452991453,0.1589720839997426,40,200,0.5386868686868688,0.5216969696969698,0.43122362869198305,0.37817460317460316,0.2952991452991453,0.4176190476190476
beta,0.5,imm,0,514.8666666666667,0.35299145299145296,0.16266679300042597,40,200,0.5837373737373736,0.5295757575757576,0.40864978902953586,0.38373015873015875,0.35299145299145296,0.37333333333333335
beta,0.5,robust_kempe,0,483.43333333333334,0.27393162393162396,0.15957987100000537,32,160,0.5646464646464647,0.4923636363636364,0.39852320675105496,0.31428571428571433,0.27393162393162396,0.364047619047619
beta,0.5,mf_bwi_fair,0,611.5666666666667,0.5630801687763712,3.1612049000000297,,,0.5773737373737374,0.5751515151515153,0.5630801687763712,0.5690476190476191,0.588888888888889,0.5726190476190476
beta,0.5,repeated_greedy,0,634.6333333333333,0.47478632478632465,191.2873425900002,,,0.6929292929292928,0.6129696969696968,0.541350210970464,0.48650793650793656,0.47478632478632465,0.5283333333333332
beta,0.0,kkt_greedy,1,684.9666666666667,0.45515873015873004,0.22754715399969427,40,200,0.7574747474747475,0.6958787878787881,0.5438818565400845,0.45515873015873004,0.49572649572649574,0.5771428571428572
beta,0.0,fair_greedy,1,645.7,0.47692307692307695,0.20372374899989154,40,200,0.6857575757575757,0.6247272727272725,0.5841772151898734,0.4797619047619047,0.47692307692307695,0.5557142857142857
beta,0.0,imm,1,684.2333333333333,0.4837606837606836,0.22686540399990918,40,200,0.7559595959595959,0.6888484848484849,0.5635021097046414,0.5015873015873017,0.4837606837606836,0.5459523809523809
beta,0.0,robust_kempe,1,631.1333333333333,0.3517094017094016,0.20325733600020612,32,160,0.7321212121212122,0.6321212121212121,0.5185654008438819,0.43650793650793646,0.3517094017094016,0.49761904761904774
beta,0.0,mf_bwi_fair,1,759.7666666666667,0.6706349206349204,2.9168959339999674,,,0.7648484848484849,0.7043636363636364,0.6835443037974683,0.6706349206349204,0.6974358974358975,0.6780952380952381
beta,0.0,repeated_greedy,1,777.8666666666667,0.5849206349206351,236.22534718499992,,,0.8233333333333334,0.7313939393939393,0.6955696202531645,0.5849206349206351,0.611965811965812,0.7019047619047619
beta,0.15,kkt_greedy,1,597.3,0.39145299145299134,0.20109432800018112,40,200,0.6653535353535354,0.5923636363636364,0.5162447257383966,0.405952380952381,0.39145299145299134,0.4902380952380952
beta,0.15,fair_greedy,1,583.2333333333333,0.40238095238095223,0.1861775630000011,40,200,0.6448484848484848,0.5642424242424242,0.4978902953586497,0.40238095238095223,0.4089743589743588,0.5064285714285715
beta,0.15,imm,1,627.4333333333333,0.38504273504273495,0.19493962600017767,40,200,0.6949494949494951,0.6224242424242423,0.5227848101265822,0.4428571428571429,0.38504273504273495,0.5507142857142856
beta,0.15,robust_kempe,1,582.3333333333334,0.3623931623931623,0.17999680699995224,32,160,0.6543434343434343,0.5836363636363636,0.518143459915612,0.369047619047619,0.3623931623931623,0.46261904761904754
beta,0.15,mf_bwi_fair,1,713.2,0.6357142857142858,2.979029212000114,,,0.7178787878787879,0.6561212121212122,0.6394514767932489,0.6527777777777776,0.6538461538461539,0.6357142857142858
beta,0.15,repeated_greedy,1,728.7,0.5404761904761906,220.62322497200012,,,0.7648484848484849,0.6916363636363637,0.6736286919831223,0.5404761904761906,0.5833333333333334,0.6340476190476193
beta,0.3,kkt_greedy,1,553.7333333333333,0.3893162393162392,0.1844669380002415,40,200,0.6304040404040403,0.5453333333333334,0.4508438818565402,0.40833333333333327,0.3893162393162392,0.4273809523809524
beta,0.3,fair_greedy,1,565.0666666666667,0.37008547008547,0.17838625800004593,40,200,0.6077777777777776,0.5751515151515151,0.4824894514767933,0.4484126984126984,0.37008547008547,0.4540476190476189
beta,0.3,imm,1,565.5,0.33174603174603184,0.17240132200004155,40,200,0.6412121212121211,0.5703030303030304,0.44683544303797473,0.33174603174603184,0.3858974358974358,0.48928571428571416
beta,0.3,robust_kempe,1,552.3666666666667,0.32136752136752134,0.17657212699987213,32,160,0.6154545454545454,0.5543030303030303,0.471308016877637,0.39007936507936514,0.32136752136752134,0.4609523809523809
beta,0.3,mf_bwi_fair,1,657.6333333333333,0.5926190476190477,3.239039428000069,,,0.6491919191919192,0.6128484848484848,0.5957805907172996,0.6003968253968254,0.606837606837607,0.5926190476190477
beta,0.3,repeated_greedy,1,672.8,0.5418803418803417,203.8552136809999,,,0.7260606060606062,0.6225454545454546,0.5991561181434598,0.5547619047619049,0.5418803418803417,0.5604761904761905
beta,0.5,kkt_greedy,1,496.1666666666667,0.31984126984126987,0.165641341999617,40,200,0.5513131313131312,0.5136969696969698,0.4054852320675106,0.31984126984126987,0.34658119658119657,0.39285714285714285
beta,0.5,fair_greedy,1,491.06666666666666,0.36837606837606834,0.1598526969996783,40,200,0.5473737373737374,0.4923636363636364,0.3751054852320676,0.37023809523809526,0.36837606837606834,0.3995238095238095
beta,0.5,imm,1,514.4666666666667,0.31468253968253973,0.16367796099984844,40,200,0.5851515151515152,0.5174545454545455,0.4103375527426161,0.31468253968253973,0.33931623931623933,0.4380952380952382
beta,0.5,robust_kempe,1,474.53333333333336,0.2730769230769231,0.15826924900011363,32,160,0.5631313131313131,0.47393939393939394,0.3540084388185655,0.2952380952380952,0.2730769230769231,0.4023809523809524
beta,0.5,mf_bwi_fair,1,629.0,0.5632478632478631,2.898881303000053,,,0.5980808080808082,0.5947878787878788,0.5896624472573839,0.6027777777777779,0.5632478632478631,0.5738095238095239
beta,0.5,repeated_greedy,1,639.5666666666667,0.4940476190476189,194.1627921620002,,,0.6895959595959594,0.6095757575757577,0.5293248945147678,0.4940476190476189,0.5162393162393161,0.564047619047619
beta,0.0,kkt_greedy,2,675.2333333333333,0.42991452991452966,0.23181392999958916,40,200,0.7571717171717172,0.647030303030303,0.6175105485232067,0.45158730158730154,0.42991452991452966,0.56
beta,0.0,fair_greedy,2,663.4333333333333,0.4089743589743589,0.2121300940002584,40,200,0.7108080808080808,0.6465454545454546,0.6139240506329112,0.4888888888888888,0.4089743589743589,0.5792857142857144
beta,0.0,imm,2,675.1666666666666,0.4261904761904761,0.2206662610001331,40,200,0.7500000000000001,0.6820606060606059,0.560337552742616,0.4261904761904761,0.4478632478632478,0.5773809523809524
beta,0.0,robust_kempe,2,644.4333333333333,0.4095238095238095,0.2097072130000015,30,150,0.7320202020202021,0.6397575757575757,0.5348101265822786,0.4095238095238095,0.4311965811965811,0.5314285714285715
beta,0.0,mf_bwi_fair,2,765.4,0.6465811965811966,3.3567756170000393,,,0.7828282828282828,0.7021818181818182,0.7006329113924051,0.6797619047619047,0.6465811965811966,0.6838095238095236
beta,0.0,repeated_greedy,2,780.1333333333333,0.5837606837606839,241.55731687399975,,,0.8286868686868687,0.7518787878787879,0.6886075949367089,0.6214285714285716,0.5837606837606839,0.666904761904762
beta,0.15,kkt_greedy,2,610.5666666666667,0.37735042735042723,0.20468559599976288,40,200,0.6901010101010101,0.5934545454545453,0.5276371308016877,0.394047619047619,0.37735042735042723,0.5266666666666665
beta,0.15,fair_greedy,2,588.8666666666667,0.3801587301587301,0.18855821199940692,40,200,0.6437373737373736,0.5856969696969697,0.4886075949367089,0.3801587301587301,0.4662393162393161,0.499047619047619
beta,0.15,imm,2,612.2,0.3576923076923076,0.20851479900011327,40,200,0.6879797979797979,0.6158787878787879,0.5067510548523207,0.4174603174603175,0.3576923076923076,0.5197619047619048
beta,0.15,robust_kempe,2,578.4666666666667,0.3428571428571428,0.19065554100052395,30,150,0.6632323232323232,0.5745454545454546,0.4835443037974684,0.3428571428571428,0.3662393162393161,0.4845238095238094
beta,0.15,mf_bwi_fair,2,727.6333333333333,0.6533333333333334,3.142373341000166,,,0.7341414141414141,0.6614545454545454,0.6588607594936708,0.6718253968253969,0.6598290598290599,0.6533333333333334
beta,0.15,repeated_greedy,2,710.2,0.5424603174603175,217.08456332200058,,,0.769090909090909,0.675030303030303,0.6320675105485232,0.5424603174603175,0.6025641025641026,0.5595238095238096
beta,0.3,kkt_greedy,2,560.0666666666667,0.36071428571428577,0.18156910099969537,40,200,0.6358585858585859,0.5536969696969698,0.4405063291139239,0.36071428571428577,0.36538461538461536,0.4969047619047618
beta,0.3,fair_greedy,2,536.3,0.35128205128205114,0.20297546300025715,40,200,0.5818181818181818,0.5362424242424242,0.47573839662447254,0.38055555555555554,0.35128205128205114,0.4449999999999999
