sweep,param,algorithm,trial,time_avg_spread,min_group_reach,runtime_s,n_seeds,round0_cost,group0_reach,group1_reach,group2_reach
alpha,1.0,kkt_greedy,0,148.13333333333333,0.41416666666666674,0.05380841599981068,40,200,0.41416666666666674,0.5916666666666667,0.7019444444444444
alpha,1.0,fair_greedy,0,153.16666666666666,0.48666666666666664,0.05396384199957538,40,200,0.48666666666666664,0.6604166666666668,0.673888888888889
alpha,1.0,imm,0,149.83333333333334,0.49750000000000016,0.05297819200040976,40,200,0.49750000000000016,0.5816666666666668,0.6949999999999998
alpha,1.0,robust_kempe,0,143.2,0.4075,0.05150315500031866,28,140,0.4075,0.5683333333333334,0.6786111111111112
alpha,1.0,repeated_greedy,0,197.96666666666667,0.8074999999999999,14.207017352000548,,,0.9100000000000001,0.8074999999999999,0.8080555555555556
alpha,1.0,mf_bwi_fair,0,210.7,0.8374999999999998,0.86680725000042,,,0.9991666666666668,0.8779166666666668,0.8374999999999998
alpha,0.0,kkt_greedy,0,148.13333333333333,0.41416666666666674,0.05380841599981068,40,200,0.41416666666666674,0.5916666666666667,0.7019444444444444
alpha,0.0,fair_greedy,0,153.16666666666666,0.48666666666666664,0.05396384199957538,40,200,0.48666666666666664,0.6604166666666668,0.673888888888889
alpha,0.0,imm,0,149.83333333333334,0.49750000000000016,0.05297819200040976,40,200,0.49750000000000016,0.5816666666666668,0.6949999999999998
alpha,0.0,robust_kempe,0,143.2,0.4075,0.05150315500031866,28,140,0.4075,0.5683333333333334,0.6786111111111112
alpha,0.0,repeated_greedy,0,197.96666666666667,0.8074999999999999,14.207017352000548,,,0.9100000000000001,0.8074999999999999,0.8080555555555556
alpha,0.0,mf_bwi_fair,0,209.33333333333334,0.8425,0.8407244619993435,,,0.8425,0.8795833333333337,0.8772222222222223
alpha,-4.0,kkt_greedy,0,148.13333333333333,0.41416666666666674,0.05380841599981068,40,200,0.41416666666666674,0.5916666666666667,0.7019444444444444
alpha,-4.0,fair_greedy,0,153.16666666666666,0.48666666666666664,0.05396384199957538,40,200,0.48666666666666664,0.6604166666666668,0.673888888888889
alpha,-4.0,imm,0,149.83333333333334,0.49750000000000016,0.05297819200040976,40,200,0.49750000000000016,0.5816666666666668,0.6949999999999998
alpha,-4.0,robust_kempe,0,143.2,0.4075,0.05150315500031866,28,140,0.4075,0.5683333333333334,0.6786111111111112
alpha,-4.0,repeated_greedy,0,197.96666666666667,0.8074999999999999,14.207017352000548,,,0.9100000000000001,0.8074999999999999,0.8080555555555556
alpha,-4.0,mf_bwi_fair,0,211.0,0.8575000000000002,0.845489297000313,,,0.8575000000000002,0.8850000000000001,0.8825000000000001
alpha,1.0,kkt_greedy,1,152.33333333333334,0.4866666666666667,0.05601854199994705,40,200,0.4866666666666667,0.6545833333333334,0.6708333333333333
alpha,1.0,fair_greedy,1,153.66666666666666,0.4200000000000001,0.05856007399961527,40,200,0.4200000000000001,0.6549999999999999,0.7038888888888889
alpha,1.0,imm,1,160.73333333333332,0.5758333333333334,0.057419734000177414,40,200,0.5758333333333334,0.6254166666666666,0.7305555555555555
alpha,1.0,robust_kempe,1,146.66666666666666,0.4016666666666666,0.05478527499963093,29,145,0.4016666666666666,0.5816666666666667,0.7005555555555556
alpha,1.0,repeated_greedy,1,201.46666666666667,0.829722222222222,15.071378833999916,,,0.8833333333333333,0.8320833333333333,0.829722222222222
alpha,1.0,mf_bwi_fair,1,211.1,0.8394444444444444,0.8738962240004184,,,0.9966666666666668,0.8812500000000001,0.8394444444444444
alpha,0.0,kkt_greedy,1,152.33333333333334,0.4866666666666667,0.05601854199994705,40,200,0.4866666666666667,0.6545833333333334,0.6708333333333333
alpha,0.0,fair_greedy,1,153.66666666666666,0.4200000000000001,0.05856007399961527,40,200,0.4200000000000001,0.6549999999999999,0.7038888888888889
alpha,0.0,imm,1,160.73333333333332,0.5758333333333334,0.057419734000177414,40,200,0.5758333333333334,0.6254166666666666,0.7305555555555555
alpha,0.0,robust_kempe,1,146.66666666666666,0.4016666666666666,0.05478527499963093,29,145,0.4016666666666666,0.5816666666666667,0.7005555555555556
alpha,0.0,repeated_greedy,1,201.46666666666667,0.829722222222222,15.071378833999916,,,0.8833333333333333,0.8320833333333333,0.829722222222222
alpha,0.0,mf_bwi_fair,1,208.9,0.8516666666666665,0.8213604539996595,,,0.8516666666666665,0.8808333333333336,0.8697222222222222
alpha,-4.0,kkt_greedy,1,152.33333333333334,0.4866666666666667,0.05601854199994705,40,200,0.4866666666666667,0.6545833333333334,0.6708333333333333
alpha,-4.0,fair_greedy,1,153.66666666666666,0.4200000000000001,0.05856007399961527,40,200,0.4200000000000001,0.6549999999999999,0.7038888888888889
alpha,-4.0,imm,1,160.73333333333332,0.5758333333333334,0.057419734000177414,40,200,0.5758333333333334,0.6254166666666666,0.7305555555555555
alpha,-4.0,robust_kempe,1,146.66666666666666,0.4016666666666666,0.05478527499963093,29,145,0.4016666666666666,0.5816666666666667,0.7005555555555556
alpha,-4.0,repeated_greedy,1,201.46666666666667,0.829722222222222,15.071378833999916,,,0.8833333333333333,0.8320833333333333,0.829722222222222
alpha,-4.0,mf_bwi_fair,1,210.96666666666667,0.8591666666666667,0.8386936079996303,,,0.8591666666666667,0.8862500000000001,0.8808333333333332
alpha,1.0,kkt_greedy,2,150.13333333333333,0.4108333333333334,0.0550265310002942,40,200,0.4108333333333334,0.6316666666666666,0.6930555555555554
alpha,1.0,fair_greedy,2,153.5,0.4725000000000001,0.05525591900004656,40,200,0.4725000000000001,0.62625,0.7041666666666667
alpha,1.0,imm,2,151.3,0.47250000000000003,0.05585574299948348,40,200,0.47250000000000003,0.6033333333333333,0.7011111111111111
alpha,1.0,robust_kempe,2,145.96666666666667,0.42000000000000004,0.054462052000417316,29,145,0.42000000000000004,0.5495833333333334,0.7100000000000002
alpha,1.0,repeated_greedy,2,199.86666666666667,0.8172222222222221,14.663468380000268,,,0.8875000000000001,0.8287500000000001,0.8172222222222221
alpha,1.0,mf_bwi_fair,2,211.26666666666668,0.8341666666666665,0.8343226299994058,,,0.9983333333333333,0.890416666666667,0.8341666666666665
alpha,0.0,kkt_greedy,2,150.13333333333333,0.4108333333333334,0.0550265310002942,40,200,0.4108333333333334,0.6316666666666666,0.6930555555555554
alpha,0.0,fair_greedy,2,153.5,0.4725000000000001,0.05525591900004656,40,200,0.4725000000000001,0.62625,0.7041666666666667
alpha,0.0,imm,2,151.3,0.47250000000000003,0.05585574299948348,40,200,0.47250000000000003,0.6033333333333333,0.7011111111111111
alpha,0.0,robust_kempe,2,145.96666666666667,0.42000000000000004,0.054462052000417316,29,145,0.42000000000000004,0.5495833333333334,0.7100000000000002
alpha,0.0,repeated_greedy,2,199.86666666666667,0.8172222222222221,14.663468380000268,,,0.8875000000000001,0.8287500000000001,0.8172222222222221
alpha,0.0,mf_bwi_fair,2,209.3,0.84,0.8226170180005283,,,0.84,0.8783333333333334,0.878611111111111
alpha,-4.0,kkt_greedy,2,150.13333333333333,0.4108333333333334,0.0550265310002942,40,200,0.4108333333333334,0.6316666666666666,0.6930555555555554
alpha,-4.0,fair_greedy,2,153.5,0.4725000000000001,0.05525591900004656,40,200,0.4725000000000001,0.62625,0.7041666666666667
alpha,-4.0,imm,2,151.3,0.47250000000000003,0.05585574299948348,40,200,0.47250000000000003,0.6033333333333333,0.7011111111111111
alpha,-4.0,robust_kempe,2,145.96666666666667,0.42000000000000004,0.054462052000417316,29,145,0.42000000000000004,0.5495833333333334,0.7100000000000002
alpha,-4.0,repeated_greedy,2,199.86666666666667,0.8172222222222221,14.663468380000268,,,0.8875000000000001,0.8287500000000001,0.8172222222222221
alpha,-4.0,mf_bwi_fair,2,209.6,0.8458333333333334,0.8343584620006368,,,0.8458333333333334,0.8716666666666666,0.8836111111111111
alpha,1.0,kkt_greedy,3,144.56666666666666,0.34583333333333327,0.05431470999974408,40,200,0.34583333333333327,0.5895833333333332,0.6963888888888888
alpha,1.0,fair_greedy,3,160.16666666666666,0.5291666666666667,0.0577676060001977,40,200,0.5291666666666667,0.6658333333333334,0.7144444444444444
alpha,1.0,imm,3,152.0,0.3975,0.05542166199938947,40,200,0.3975,0.6279166666666668,0.7155555555555555
alpha,1.0,robust_kempe,3,143.03333333333333,0.4416666666666666,0.053507539000747784,30,150,0.4416666666666666,0.5850000000000001,0.6547222222222222
alpha,1.0,repeated_greedy,3,201.66666666666666,0.8327777777777777,15.33076526000059,,,0.8758333333333334,0.83375,0.8327777777777777
alpha,1.0,mf_bwi_fair,3,211.86666666666667,0.8455555555555555,0.8342885390002266,,,1.0,0.8800000000000001,0.8455555555555555
alpha,0.0,kkt_greedy,3,144.56666666666666,0.34583333333333327,0.05431470999974408,40,200,0.34583333333333327,0.5895833333333332,0.6963888888888888
alpha,0.0,fair_greedy,3,160.16666666666666,0.5291666666666667,0.0577676060001977,40,200,0.5291666666666667,0.6658333333333334,0.7144444444444444
alpha,0.0,imm,3,152.0,0.3975,0.05542166199938947,40,200,0.3975,0.6279166666666668,0.7155555555555555
alpha,0.0,robust_kempe,3,143.03333333333333,0.4416666666666666,0.053507539000747784,30,150,0.4416666666666666,0.5850000000000001,0.6547222222222222
alpha,0.0,repeated_greedy,3,201.66666666666666,0.8327777777777777,15.33076526000059,,,0.8758333333333334,0.83375,0.8327777777777777
alpha,0.0,mf_bwi_fair,3,208.63333333333333,0.8458333333333332,0.8264839980001852,,,0.8458333333333332,0.8741666666666669,0.8738888888888889
alpha,-4.0,kkt_greedy,3,144.56666666666666,0.34583333333333327,0.05431470999974408,40,200,0.34583333333333327,0.5895833333333332,0.6963888888888888
alpha,-4.0,fair_greedy,3,160.16666666666666,0.5291666666666667,0.0577676060001977,40,200,0.5291666666666667,0.6658333333333334,0.7144444444444444
alpha,-4.0,imm,3,152.0,0.3975,0.05542166199938947,40,200,0.3975,0.6279166666666668,0.7155555555555555
alpha,-4.0,robust_kempe,3,143.03333333333333,0.4416666666666666,0.053507539000747784,30,150,0.4416666666666666,0.5850000000000001,0.6547222222222222
alpha,-4.0,repeated_greedy,3,201.66666666666666,0.8327777777777777,15.33076526000059,,,0.8758333333333334,0.83375,0.8327777777777777
alpha,-4.0,mf_bwi_fair,3,211.4,0.8625000000000003,0.8426328049999938,,,0.8625000000000003,0.8770833333333333,0.8894444444444448
