sweep,param,algorithm,trial,time_avg_spread,min_group_reach,runtime_s,n_seeds,round0_cost,group0_reach,group1_reach,group2_reach
beta,0.0,kkt_greedy,0,186.5,0.555,0.07074782500012589,40,200,0.555,0.8245833333333332,0.8194444444444444
beta,0.0,fair_greedy,0,181.73333333333332,0.5608333333333333,0.0692606769998747,40,200,0.5608333333333333,0.7766666666666666,0.8097222222222222
beta,0.0,imm,0,190.7,0.6224999999999999,0.07179888399969059,40,200,0.6224999999999999,0.8149999999999998,0.8383333333333333
beta,0.0,robust_kempe,0,178.96666666666667,0.5233333333333333,0.06341061700004502,28,140,0.5233333333333333,0.7570833333333334,0.8122222222222224
beta,0.0,mf_bwi_fair,0,215.2,0.8825000000000001,0.832607500999984,,,0.9400000000000001,0.8825000000000001,0.8916666666666667
beta,0.0,repeated_greedy,0,213.1,0.8695833333333334,15.616232209999907,,,0.9700000000000001,0.8695833333333334,0.8727777777777778
beta,0.15,kkt_greedy,0,165.2,0.4833333333333333,0.05985490700004448,40,200,0.4833333333333333,0.6908333333333333,0.7550000000000001
beta,0.15,fair_greedy,0,167.0,0.6108333333333333,0.05957867100005387,40,200,0.6108333333333333,0.71875,0.708888888888889
beta,0.15,imm,0,172.1,0.5733333333333334,0.061786018000020704,40,200,0.5733333333333334,0.7154166666666669,0.7661111111111111
beta,0.15,robust_kempe,0,167.3,0.46333333333333326,0.062208049000219034,28,140,0.46333333333333326,0.6654166666666665,0.796111111111111
beta,0.15,mf_bwi_fair,0,211.13333333333333,0.8683333333333333,0.8318799230000877,,,0.8683333333333333,0.8733333333333333,0.8877777777777781
beta,0.15,repeated_greedy,0,205.53333333333333,0.8405555555555555,15.18971848800038,,,0.9283333333333333,0.8441666666666668,0.8405555555555555
beta,0.3,kkt_greedy,0,154.36666666666667,0.5249999999999999,0.05728861599982338,40,200,0.5249999999999999,0.6054166666666667,0.707777777777778
beta,0.3,fair_greedy,0,157.76666666666668,0.5525,0.05428084300001501,40,200,0.5525,0.62625,0.7130555555555558
beta,0.3,imm,0,161.76666666666668,0.5399999999999999,0.05615752900030202,40,200,0.5399999999999999,0.7112499999999998,0.6938888888888888
beta,0.3,robust_kempe,0,151.66666666666666,0.4183333333333334,0.05496665900000153,28,140,0.4183333333333334,0.6087499999999999,0.7186111111111112
beta,0.3,mf_bwi_fair,0,209.3,0.85,0.8545536609999544,,,0.85,0.8770833333333334,0.876111111111111
beta,0.3,repeated_greedy,0,205.16666666666666,0.8245833333333332,15.035378214000048,,,0.9466666666666669,0.8245833333333332,0.8444444444444446
beta,0.5,kkt_greedy,0,143.5,0.4816666666666667,0.05102669899997636,40,200,0.4816666666666667,0.5754166666666668,0.6516666666666667
beta,0.5,fair_greedy,0,140.56666666666666,0.5358333333333332,0.049461734000033175,40,200,0.5358333333333332,0.5520833333333334,0.6247222222222223
beta,0.5,imm,0,146.63333333333333,0.485,0.05143483299980289,40,200,0.485,0.6124999999999999,0.6519444444444443
beta,0.5,robust_kempe,0,133.66666666666666,0.3908333333333333,0.04787718999978097,28,140,0.3908333333333333,0.5766666666666665,0.5991666666666667
beta,0.5,mf_bwi_fair,0,208.96666666666667,0.8466666666666666,0.8356168759996763,,,0.8466666666666666,0.8779166666666669,0.873888888888889
beta,0.5,repeated_greedy,0,188.76666666666668,0.7641666666666665,13.387738337999963,,,0.8766666666666669,0.7641666666666665,0.7713888888888888
beta,0.0,kkt_greedy,1,183.93333333333334,0.5175,0.06870830300022135,40,200,0.5175,0.7849999999999999,0.8369444444444446
beta,0.0,fair_greedy,1,188.4,0.6691666666666667,0.06713245800028744,40,200,0.6691666666666667,0.7883333333333333,0.8213888888888891
beta,0.0,imm,1,188.86666666666667,0.6833333333333333,0.06635090500003571,40,200,0.6833333333333333,0.7629166666666667,0.8374999999999999
beta,0.0,robust_kempe,1,176.5,0.5541666666666666,0.06398270099998626,29,145,0.5541666666666666,0.7333333333333335,0.7972222222222222
beta,0.0,mf_bwi_fair,1,214.9,0.8930555555555555,0.8206330489997526,,,0.9024999999999997,0.8954166666666666,0.8930555555555555
beta,0.0,repeated_greedy,1,213.3,0.8741666666666669,15.839606172999993,,,0.9608333333333334,0.8745833333333336,0.8741666666666669
beta,0.15,kkt_greedy,1,169.86666666666667,0.5491666666666666,0.06052379099992322,40,200,0.5491666666666666,0.7112499999999999,0.758333333333333
beta,0.15,fair_greedy,1,169.4,0.5591666666666667,0.06021949500018309,40,200,0.5591666666666667,0.70125,0.7577777777777778
beta,0.15,imm,1,176.63333333333333,0.6499999999999999,0.06159122099961678,40,200,0.6499999999999999,0.755,0.7519444444444444
beta,0.15,robust_kempe,1,164.1,0.4708333333333333,0.058098504999634315,29,145,0.4708333333333333,0.7074999999999999,0.7388888888888888
beta,0.15,mf_bwi_fair,1,210.73333333333332,0.8599999999999999,0.8186783210003341,,,0.8599999999999999,0.8845833333333334,0.8797222222222223
beta,0.15,repeated_greedy,1,209.4,0.8502777777777778,15.26740025900017,,,0.9508333333333335,0.8666666666666666,0.8502777777777778
beta,0.3,kkt_greedy,1,154.96666666666667,0.5250000000000001,0.05498492000015176,40,200,0.5250000000000001,0.6408333333333333,0.6891666666666667
beta,0.3,fair_greedy,1,154.73333333333332,0.5341666666666665,0.054202737000196066,40,200,0.5341666666666665,0.6125000000000002,0.7030555555555552
