sweep,param,algorithm,trial,time_avg_spread,min_group_reach,runtime_s,n_seeds,round0_cost,group0_reach,group1_reach,group2_reach
alpha,1.0,kkt_greedy,0,65.93333333333334,0.45500000000000007,0.012461325000003853,20,100,0.45500000000000007,0.46249999999999997,0.638888888888889
alpha,1.0,fair_greedy,0,55.0,0.3275,0.01109872600000017,20,100,0.39,0.3275,0.5683333333333332
alpha,1.0,imm,0,61.13333333333333,0.45166666666666655,0.011556813999959559,20,100,0.45166666666666655,0.4800000000000001,0.5483333333333333
alpha,1.0,robust_kempe,0,55.666666666666664,0.30000000000000004,0.01115390400002525,14,70,0.30000000000000004,0.3533333333333334,0.5922222222222221
alpha,1.0,repeated_greedy,0,101.96666666666667,0.83,7.345681822000074,,,0.8649999999999999,0.83,0.8577777777777776
alpha,1.0,mf_bwi_fair,0,107.66666666666667,0.8338888888888886,0.15489932000002682,,,0.9849999999999998,0.9483333333333336,0.8338888888888886
alpha,0.5,kkt_greedy,0,65.93333333333334,0.45500000000000007,0.012461325000003853,20,100,0.45500000000000007,0.46249999999999997,0.638888888888889
alpha,0.5,fair_greedy,0,55.0,0.3275,0.01109872600000017,20,100,0.39,0.3275,0.5683333333333332
alpha,0.5,imm,0,61.13333333333333,0.45166666666666655,0.011556813999959559,20,100,0.45166666666666655,0.4800000000000001,0.5483333333333333
alpha,0.5,robust_kempe,0,55.666666666666664,0.30000000000000004,0.01115390400002525,14,70,0.30000000000000004,0.3533333333333334,0.5922222222222221
alpha,0.5,repeated_greedy,0,101.96666666666667,0.83,7.345681822000074,,,0.8649999999999999,0.83,0.8577777777777776
alpha,0.5,mf_bwi_fair,0,107.2,0.8733333333333333,0.17172982300007789,,,0.8733333333333333,0.9250000000000002,0.8788888888888888
alpha,0.0,kkt_greedy,0,65.93333333333334,0.45500000000000007,0.012461325000003853,20,100,0.45500000000000007,0.46249999999999997,0.638888888888889
alpha,0.0,fair_greedy,0,55.0,0.3275,0.01109872600000017,20,100,0.39,0.3275,0.5683333333333332
alpha,0.0,imm,0,61.13333333333333,0.45166666666666655,0.011556813999959559,20,100,0.45166666666666655,0.4800000000000001,0.5483333333333333
alpha,0.0,robust_kempe,0,55.666666666666664,0.30000000000000004,0.01115390400002525,14,70,0.30000000000000004,0.3533333333333334,0.5922222222222221
alpha,0.0,repeated_greedy,0,101.96666666666667,0.83,7.345681822000074,,,0.8649999999999999,0.83,0.8577777777777776
alpha,0.0,mf_bwi_fair,0,105.2,0.8083333333333332,0.17506576900007076,,,0.8083333333333332,0.9158333333333334,0.8733333333333332
alpha,-2.0,kkt_greedy,0,65.93333333333334,0.45500000000000007,0.012461325000003853,20,100,0.45500000000000007,0.46249999999999997,0.638888888888889
alpha,-2.0,fair_greedy,0,55.0,0.3275,0.01109872600000017,20,100,0.39,0.3275,0.5683333333333332
alpha,-2.0,imm,0,61.13333333333333,0.45166666666666655,0.011556813999959559,20,100,0.45166666666666655,0.4800000000000001,0.5483333333333333
alpha,-2.0,robust_kempe,0,55.666666666666664,0.30000000000000004,0.01115390400002525,14,70,0.30000000000000004,0.3533333333333334,0.5922222222222221
alpha,-2.0,repeated_greedy,0,101.96666666666667,0.83,7.345681822000074,,,0.8649999999999999,0.83,0.8577777777777776
alpha,-2.0,mf_bwi_fair,0,107.46666666666667,0.8516666666666666,0.21777850099999796,,,0.8516666666666666,0.9058333333333336,0.9033333333333334
alpha,-8.0,kkt_greedy,0,65.93333333333334,0.45500000000000007,0.012461325000003853,20,100,0.45500000000000007,0.46249999999999997,0.638888888888889
alpha,-8.0,fair_greedy,0,55.0,0.3275,0.01109872600000017,20,100,0.39,0.3275,0.5683333333333332
alpha,-8.0,imm,0,61.13333333333333,0.45166666666666655,0.011556813999959559,20,100,0.45166666666666655,0.4800000000000001,0.5483333333333333
alpha,-8.0,robust_kempe,0,55.666666666666664,0.30000000000000004,0.01115390400002525,14,70,0.30000000000000004,0.3533333333333334,0.5922222222222221
alpha,-8.0,repeated_greedy,0,101.96666666666667,0.83,7.345681822000074,,,0.8649999999999999,0.83,0.8577777777777776
alpha,-8.0,mf_bwi_fair,0,107.7,0.8566666666666666,0.22662758299998131,,,0.8566666666666666,0.9066666666666666,0.9049999999999999
alpha,1.0,kkt_greedy,1,52.8,0.30000000000000004,0.011348511999926814,20,100,0.30000000000000004,0.31333333333333335,0.5711111111111111
alpha,1.0,fair_greedy,1,61.96666666666667,0.4183333333333332,0.010956340999996428,20,100,0.4183333333333332,0.4941666666666667,0.563888888888889
alpha,1.0,imm,1,65.96666666666667,0.3483333333333334,0.01164104800000132,20,100,0.3483333333333334,0.45083333333333336,0.6827777777777776
alpha,1.0,robust_kempe,1,55.733333333333334,0.30833333333333335,0.010367962000032094,15,75,0.30833333333333335,0.3916666666666666,0.5649999999999998
alpha,1.0,repeated_greedy,1,96.16666666666667,0.7216666666666668,6.952304832999971,,,0.7216666666666668,0.7925,0.8338888888888889
alpha,1.0,mf_bwi_fair,1,106.33333333333333,0.8177777777777776,0.1411310160000312,,,0.9799999999999999,0.9416666666666669,0.8177777777777776
alpha,0.5,kkt_greedy,1,52.8,0.30000000000000004,0.011348511999926814,20,100,0.30000000000000004,0.31333333333333335,0.5711111111111111
