sweep,param,algorithm,trial,time_avg_spread,min_group_reach,runtime_s,n_seeds,round0_cost,group0_reach,group1_reach,group2_reach
beta,0.0,kkt_greedy,0,82.33333333333333,0.5399999999999999,0.016494864000009102,20,100,0.5399999999999999,0.5841666666666666,0.8027777777777776
beta,0.0,fair_greedy,0,79.36666666666666,0.4950000000000001,0.03140278300000432,20,100,0.4950000000000001,0.5608333333333334,0.783888888888889
beta,0.0,imm,0,76.5,0.4600000000000001,0.013240972000005513,20,100,0.4600000000000001,0.5108333333333335,0.781111111111111
beta,0.0,robust_kempe,0,71.56666666666666,0.38666666666666666,0.012626535000009653,15,75,0.38666666666666666,0.4600000000000001,0.7572222222222222
beta,0.0,mf_bwi_fair,0,109.43333333333334,0.8894444444444445,0.18517416900002104,,,0.9316666666666664,0.9358333333333333,0.8894444444444445
beta,0.0,repeated_greedy,0,108.7,0.8799999999999998,7.708845005000001,,,0.8799999999999998,0.8975000000000002,0.9199999999999998
beta,0.1,kkt_greedy,0,75.86666666666666,0.42833333333333334,0.013058061000009502,20,100,0.42833333333333334,0.5866666666666664,0.7305555555555557
beta,0.1,fair_greedy,0,78.03333333333333,0.5908333333333334,0.012913413000006813,20,100,0.6266666666666666,0.5908333333333334,0.6977777777777777
beta,0.1,imm,0,76.8,0.4433333333333333,0.013190269000006083,20,100,0.4433333333333333,0.49333333333333335,0.8033333333333332
beta,0.1,robust_kempe,0,74.3,0.4100000000000001,0.01284966000000054,15,75,0.4100000000000001,0.5066666666666666,0.763888888888889
beta,0.1,mf_bwi_fair,0,107.53333333333333,0.8799999999999997,0.19057301799998072,,,0.8799999999999997,0.9108333333333333,0.8916666666666667
beta,0.1,repeated_greedy,0,107.06666666666666,0.8116666666666663,7.702728430999997,,,0.8116666666666663,0.8958333333333333,0.9166666666666664
beta,0.2,kkt_greedy,0,69.23333333333333,0.39333333333333337,0.012382733999999118,20,100,0.39333333333333337,0.5341666666666668,0.6666666666666666
beta,0.2,fair_greedy,0,70.5,0.46166666666666667,0.012875745000002325,20,100,0.46166666666666667,0.5608333333333333,0.6472222222222223
beta,0.2,imm,0,70.1,0.4483333333333333,0.011964811000012787,20,100,0.4483333333333333,0.5466666666666666,0.6544444444444443
beta,0.2,robust_kempe,0,60.833333333333336,0.3133333333333333,0.012138004999997065,15,75,0.3133333333333333,0.32333333333333336,0.6938888888888889
beta,0.2,mf_bwi_fair,0,107.06666666666666,0.8666666666666666,0.20835070699999392,,,0.8666666666666666,0.9083333333333333,0.8899999999999999
beta,0.2,repeated_greedy,0,104.33333333333333,0.8508333333333332,7.482130081000008,,,0.8699999999999997,0.8508333333333332,0.8816666666666666
beta,0.3,kkt_greedy,0,63.1,0.38833333333333325,0.013523367999994207,20,100,0.38833333333333325,0.4724999999999999,0.607222222222222
beta,0.3,fair_greedy,0,70.56666666666666,0.37166666666666653,0.013981432999997878,20,100,0.37166666666666653,0.5566666666666666,0.6811111111111111
beta,0.3,imm,0,66.26666666666667,0.4383333333333333,0.013309917000015048,20,100,0.4383333333333333,0.4625000000000001,0.6500000000000001
beta,0.3,robust_kempe,0,63.3,0.295,0.013109697999993841,15,75,0.295,0.43,0.6700000000000002
beta,0.3,mf_bwi_fair,0,107.86666666666666,0.8683333333333334,0.20500748999998564,,,0.8683333333333334,0.9241666666666667,0.8922222222222219
beta,0.3,repeated_greedy,0,99.76666666666667,0.8141666666666667,6.975691855999997,,,0.8683333333333334,0.8141666666666667,0.8305555555555557
