sweep,param,algorithm,trial,time_avg_spread,runtime_s
beta,0.0,mf_bwi_fair_true_params,0,453.43333333333334,2.3950641359999736
beta,0.0,mf_bwi_fair_true_params,1,457.03333333333336,2.244710513999962
beta,0.0,mf_bwi_fair_true_params,2,460.6666666666667,2.216927279999936
beta,0.0,mf_bwi_fair_true_params,3,458.6333333333333,2.246981551999852
beta,0.0,mf_bwi_fair_true_params,4,458.73333333333335,2.163521666000179
beta,0.3,mf_bwi_fair_true_params,0,405.1333333333333,1.9345382229998904
beta,0.3,mf_bwi_fair_true_params,1,404.03333333333336,1.8358580100000381
beta,0.3,mf_bwi_fair_true_params,2,412.23333333333335,1.8308917879999171
beta,0.3,mf_bwi_fair_true_params,3,404.6333333333333,1.82325019599989
beta,0.3,mf_bwi_fair_true_params,4,408.23333333333335,1.8391645070000777
beta,0.7,mf_bwi_fair_true_params,0,368.3666666666667,1.7538466799999242
beta,0.7,mf_bwi_fair_true_params,1,367.56666666666666,1.8070298520001415
beta,0.7,mf_bwi_fair_true_params,2,363.3,1.8524808739998662
beta,0.7,mf_bwi_fair_true_params,3,368.3666666666667,1.9130147979999492
beta,0.7,mf_bwi_fair_true_params,4,368.6333333333333,1.9318434470001193
q,0.0,mf_bwi_fair_true_params,0,435.8333333333333,2.1532952720001504
q,0.0,mf_bwi_fair_true_params,1,436.53333333333336,2.1835596470000382
q,0.0,mf_bwi_fair_true_params,2,435.8666666666667,2.057111520000035
q,0.0,mf_bwi_fair_true_params,3,428.6,2.0056373390000317
q,0.0,mf_bwi_fair_true_params,4,436.06666666666666,2.054757996000035
q,0.2,mf_bwi_fair_true_params,0,394.4,1.9302366239999174
q,0.2,mf_bwi_fair_true_params,1,398.73333333333335,1.9858948979999695
q,0.2,mf_bwi_fair_true_params,2,394.3,1.973696006999944
q,0.2,mf_bwi_fair_true_params,3,397.9,1.9574660590001258
q,0.2,mf_bwi_fair_true_params,4,396.3666666666667,1.8968622370000503
q,0.4,mf_bwi_fair_true_params,0,351.3666666666667,2.112989295000034
q,0.4,mf_bwi_fair_true_params,1,348.56666666666666,2.2869719179998356
q,0.4,mf_bwi_fair_true_params,2,351.1333333333333,2.087087467999936
q,0.4,mf_bwi_fair_true_params,3,365.76666666666665,2.0365837020001436
q,0.4,mf_bwi_fair_true_params,4,353.46666666666664,2.1204081739999765
