sweep,param,algorithm,trial,time_avg_spread,min_group_reach,runtime_s,n_seeds,round0_cost,group0_reach,group1_reach,group2_reach,group3_reach
alpha,1.0,kkt_greedy,0,109.5,0.16666666666666666,0.07278552600018884,10,50,0.5584935897435898,0.5050813008130081,0.16666666666666666,0.35000000000000003
alpha,1.0,fair_greedy,0,117.0,0.47764227642276413,0.06802488100038317,10,50,0.4967948717948718,0.47764227642276413,0.7129629629629631,0.6666666666666666
alpha,1.0,imm,0,131.16666666666666,0.5701219512195123,0.08419818500033216,10,50,0.5873397435897435,0.5701219512195123,0.6203703703703703,0.6083333333333333
alpha,1.0,robust_kempe,0,96.5,0.09722222222222221,0.06946177100007844,10,50,0.4959935897435897,0.42987804878048785,0.09722222222222221,0.3958333333333333
alpha,1.0,repeated_greedy,0,124.41666666666667,0.4541666666666666,14.248633058999985,,,0.5737179487179486,0.5721544715447154,0.4861111111111111,0.4541666666666666
alpha,1.0,mf_bwi_fair,0,122.08333333333333,0.45325203252032525,1.5798488399996131,,,0.5969551282051283,0.45325203252032525,0.7037037037037037,0.5083333333333333
alpha,0.0,kkt_greedy,0,109.5,0.16666666666666666,0.07278552600018884,10,50,0.5584935897435898,0.5050813008130081,0.16666666666666666,0.35000000000000003
alpha,0.0,fair_greedy,0,117.0,0.47764227642276413,0.06802488100038317,10,50,0.4967948717948718,0.47764227642276413,0.7129629629629631,0.6666666666666666
alpha,0.0,imm,0,131.16666666666666,0.5701219512195123,0.08419818500033216,10,50,0.5873397435897435,0.5701219512195123,0.6203703703703703,0.6083333333333333
alpha,0.0,robust_kempe,0,96.5,0.09722222222222221,0.06946177100007844,10,50,0.4959935897435897,0.42987804878048785,0.09722222222222221,0.3958333333333333
alpha,0.0,repeated_greedy,0,124.41666666666667,0.4541666666666666,14.248633058999985,,,0.5737179487179486,0.5721544715447154,0.4861111111111111,0.4541666666666666
alpha,0.0,mf_bwi_fair,0,121.16666666666667,0.3916666666666666,1.6118188489999739,,,0.5568910256410257,0.5558943089430894,0.5462962962962963,0.3916666666666666
alpha,-4.0,kkt_greedy,0,109.5,0.16666666666666666,0.07278552600018884,10,50,0.5584935897435898,0.5050813008130081,0.16666666666666666,0.35000000000000003
alpha,-4.0,fair_greedy,0,117.0,0.47764227642276413,0.06802488100038317,10,50,0.4967948717948718,0.47764227642276413,0.7129629629629631,0.6666666666666666
alpha,-4.0,imm,0,131.16666666666666,0.5701219512195123,0.08419818500033216,10,50,0.5873397435897435,0.5701219512195123,0.6203703703703703,0.6083333333333333
alpha,-4.0,robust_kempe,0,96.5,0.09722222222222221,0.06946177100007844,10,50,0.4959935897435897,0.42987804878048785,0.09722222222222221,0.3958333333333333
alpha,-4.0,repeated_greedy,0,124.41666666666667,0.4541666666666666,14.248633058999985,,,0.5737179487179486,0.5721544715447154,0.4861111111111111,0.4541666666666666
alpha,-4.0,mf_bwi_fair,0,122.41666666666667,0.5375,1.5890837249999095,,,0.5440705128205128,0.548780487804878,0.5601851851851852,0.5375
alpha,1.0,kkt_greedy,1,100.25,0.2625,0.06907518600019102,10,50,0.5248397435897436,0.4054878048780488,0.39814814814814814,0.2625
alpha,1.0,fair_greedy,1,101.75,0.39022435897435903,0.05219514100008382,10,50,0.39022435897435903,0.4502032520325204,0.7222222222222222,0.5625
alpha,1.0,imm,1,127.33333333333333,0.5132113821138211,0.07578091499999573,10,50,0.5849358974358974,0.5132113821138211,0.6527777777777778,0.6333333333333334
alpha,1.0,robust_kempe,1,107.08333333333333,0.13888888888888887,0.06513664500016603,7,35,0.5224358974358974,0.5416666666666667,0.13888888888888887,0.2916666666666667
alpha,1.0,repeated_greedy,1,122.16666666666667,0.4166666666666667,14.424119146000066,,,0.5913461538461539,0.5345528455284553,0.47222222222222215,0.4166666666666667
alpha,1.0,mf_bwi_fair,1,124.5,0.3375000000000001,1.543460750000122,,,0.5793269230769231,0.5335365853658536,0.7638888888888888,0.3375000000000001
alpha,0.0,kkt_greedy,1,100.25,0.2625,0.06907518600019102,10,50,0.5248397435897436,0.4054878048780488,0.39814814814814814,0.2625
alpha,0.0,fair_greedy,1,101.75,0.39022435897435903,0.05219514100008382,10,50,0.39022435897435903,0.4502032520325204,0.7222222222222222,0.5625
alpha,0.0,imm,1,127.33333333333333,0.5132113821138211,0.07578091499999573,10,50,0.5849358974358974,0.5132113821138211,0.6527777777777778,0.6333333333333334
alpha,0.0,robust_kempe,1,107.08333333333333,0.13888888888888887,0.06513664500016603,7,35,0.5224358974358974,0.5416666666666667,0.13888888888888887,0.2916666666666667
alpha,0.0,repeated_greedy,1,122.16666666666667,0.4166666666666667,14.424119146000066,,,0.5913461538461539,0.5345528455284553,0.47222222222222215,0.4166666666666667
alpha,0.0,mf_bwi_fair,1,120.91666666666667,0.5272435897435896,1.5131218220003575,,,0.5272435897435896,0.5436991869918699,0.5787037037037037,0.5541666666666667
alpha,-4.0,kkt_greedy,1,100.25,0.2625,0.06907518600019102,10,50,0.5248397435897436,0.4054878048780488,0.39814814814814814,0.2625
alpha,-4.0,fair_greedy,1,101.75,0.39022435897435903,0.05219514100008382,10,50,0.39022435897435903,0.4502032520325204,0.7222222222222222,0.5625
alpha,-4.0,imm,1,127.33333333333333,0.5132113821138211,0.07578091499999573,10,50,0.5849358974358974,0.5132113821138211,0.6527777777777778,0.6333333333333334
alpha,-4.0,robust_kempe,1,107.08333333333333,0.13888888888888887,0.06513664500016603,7,35,0.5224358974358974,0.5416666666666667,0.13888888888888887,0.2916666666666667
alpha,-4.0,repeated_greedy,1,122.16666666666667,0.4166666666666667,14.424119146000066,,,0.5913461538461539,0.5345528455284553,0.47222222222222215,0.4166666666666667
alpha,-4.0,mf_bwi_fair,1,119.08333333333333,0.44999999999999996,1.5447332369999458,,,0.5488782051282052,0.5365853658536586,0.5,0.44999999999999996
alpha,1.0,kkt_greedy,2,106.41666666666667,0.3125,0.06195211999965977,10,50,0.5208333333333334,0.46747967479674796,0.4259259259259259,0.3125
alpha,1.0,fair_greedy,2,94.41666666666667,0.23611111111111113,0.05345540799999071,10,50,0.4286858974358974,0.41158536585365857,0.23611111111111113,0.5916666666666667
alpha,1.0,imm,2,121.33333333333333,0.5166666666666667,0.06771273900039887,10,50,0.5592948717948717,0.5274390243902439,0.5324074074074074,0.5166666666666667
alpha,1.0,robust_kempe,2,88.08333333333333,0.1958333333333333,0.05530341099984071,8,40,0.467948717948718,0.35772357723577236,0.34259259259259256,0.1958333333333333
alpha,1.0,repeated_greedy,2,121.75,0.4212962962962962,14.232717162999961,,,0.5913461538461539,0.524390243902439,0.4212962962962962,0.48333333333333334
alpha,1.0,mf_bwi_fair,2,128.0,0.5125000000000001,1.5441058149999662,,,0.5913461538461539,0.5203252032520325,0.7546296296296297,0.5125000000000001
alpha,0.0,kkt_greedy,2,106.41666666666667,0.3125,0.06195211999965977,10,50,0.5208333333333334,0.46747967479674796,0.4259259259259259,0.3125
alpha,0.0,fair_greedy,2,94.41666666666667,0.23611111111111113,0.05345540799999071,10,50,0.4286858974358974,0.41158536585365857,0.23611111111111113,0.5916666666666667
alpha,0.0,imm,2,121.33333333333333,0.5166666666666667,0.06771273900039887,10,50,0.5592948717948717,0.5274390243902439,0.5324074074074074,0.5166666666666667
alpha,0.0,robust_kempe,2,88.08333333333333,0.1958333333333333,0.05530341099984071,8,40,0.467948717948718,0.35772357723577236,0.34259259259259256,0.1958333333333333
alpha,0.0,repeated_greedy,2,121.75,0.4212962962962962,14.232717162999961,,,0.5913461538461539,0.524390243902439,0.4212962962962962,0.48333333333333334
alpha,0.0,mf_bwi_fair,2,126.83333333333333,0.5528846153846154,1.56408106400022,,,0.5528846153846154,0.5721544715447154,0.6111111111111112,0.5708333333333333
alpha,-4.0,kkt_greedy,2,106.41666666666667,0.3125,0.06195211999965977,10,50,0.5208333333333334,0.46747967479674796,0.4259259259259259,0.3125
alpha,-4.0,fair_greedy,2,94.41666666666667,0.23611111111111113,0.05345540799999071,10,50,0.4286858974358974,0.41158536585365857,0.23611111111111113,0.5916666666666667
alpha,-4.0,imm,2,121.33333333333333,0.5166666666666667,0.06771273900039887,10,50,0.5592948717948717,0.5274390243902439,0.5324074074074074,0.5166666666666667
alpha,-4.0,robust_kempe,2,88.08333333333333,0.1958333333333333,0.05530341099984071,8,40,0.467948717948718,0.35772357723577236,0.34259259259259256,0.1958333333333333
alpha,-4.0,repeated_greedy,2,121.75,0.4212962962962962,14.232717162999961,,,0.5913461538461539,0.524390243902439,0.4212962962962962,0.48333333333333334
alpha,-4.0,mf_bwi_fair,2,121.75,0.5400641025641026,1.5689864270002545,,,0.5400641025641026,0.5426829268292683,0.5648148148148149,0.5458333333333333
alpha,1.0,kkt_greedy,3,107.66666666666667,0.4351851851851852,0.06182071900002484,10,50,0.47996794871794873,0.48678861788617883,0.4351851851851852,0.5
alpha,1.0,fair_greedy,3,81.91666666666667,0.24074074074074073,0.04728329399995346,10,50,0.390224358974359,0.3333333333333333,0.24074074074074073,0.4833333333333332
alpha,1.0,imm,3,121.41666666666667,0.2416666666666667,0.06966270400016583,10,50,0.5424679487179488,0.5599593495934959,0.7916666666666666,0.2416666666666667
alpha,1.0,robust_kempe,3,111.0,0.24583333333333335,0.0700755670000035,6,30,0.5737179487179488,0.4878048780487805,0.35648148148148145,0.24583333333333335
