sweep,param,algorithm,trial,time_avg_spread,min_group_reach,runtime_s,n_seeds,round0_cost,group0_reach,group1_reach,group2_reach,group3_reach
beta,0.0,kkt_greedy,0,119.75,0.24537037037037038,0.08187238800019259,10,50,0.608173076923077,0.5558943089430896,0.24537037037037038,0.325
beta,0.0,fair_greedy,0,114.5,0.4369918699186992,0.06545134599991798,10,50,0.5360576923076923,0.4369918699186992,0.6203703703703703,0.5875
beta,0.0,imm,0,123.16666666666667,0.4750000000000001,0.06573961100002634,10,50,0.5112179487179487,0.5630081300813008,0.7962962962962964,0.4750000000000001
beta,0.0,robust_kempe,0,97.16666666666667,0.35185185185185186,0.07548056700034067,7,35,0.4967948717948718,0.3760162601626016,0.35185185185185186,0.4166666666666667
beta,0.0,mf_bwi_fair,0,120.75,0.4583333333333334,1.5349294580000787,,,0.5384615384615384,0.5254065040650406,0.6944444444444445,0.4583333333333334
beta,0.0,repeated_greedy,0,131.33333333333334,0.41250000000000003,15.439958069000113,,,0.6402243589743589,0.5863821138211383,0.4675925925925926,0.41250000000000003
beta,0.15,kkt_greedy,0,113.66666666666667,0.2333333333333334,0.07135988500021995,10,50,0.5625,0.5325203252032521,0.3796296296296296,0.2333333333333334
beta,0.15,fair_greedy,0,92.91666666666667,0.2222222222222222,0.05762090999996872,10,50,0.5128205128205128,0.35873983739837406,0.2222222222222222,0.3083333333333334
beta,0.15,imm,0,129.08333333333334,0.5448717948717949,0.06698774299957222,10,50,0.5448717948717949,0.5884146341463415,0.6435185185185185,0.6291666666666667
beta,0.15,robust_kempe,0,100.83333333333333,0.25,0.05917441700012205,7,35,0.548076923076923,0.38922764227642276,0.38425925925925924,0.25
beta,0.15,mf_bwi_fair,0,125.41666666666667,0.4875,1.4920787510000082,,,0.5584935897435898,0.5670731707317073,0.6157407407407407,0.4875
beta,0.15,repeated_greedy,0,126.25,0.5166666666666666,14.626540505000321,,,0.5921474358974359,0.5487804878048781,0.5185185185185185,0.5166666666666666
beta,0.3,kkt_greedy,0,100.75,0.2583333333333333,0.06089642899996761,10,50,0.4775641025641026,0.4867886178861789,0.3333333333333333,0.2583333333333333
beta,0.3,fair_greedy,0,109.83333333333333,0.4380081300813008,0.06416267299982792,10,50,0.5192307692307693,0.4380081300813008,0.4537037037037037,0.5875
beta,0.3,imm,0,123.75,0.5223577235772358,0.07625409399997807,10,50,0.5713141025641025,0.5223577235772358,0.5324074074074073,0.5958333333333333
beta,0.3,robust_kempe,0,87.08333333333333,0.26666666666666666,0.057306971000343765,7,35,0.4679487179487179,0.3048780487804878,0.4490740740740741,0.26666666666666666
beta,0.3,mf_bwi_fair,0,122.83333333333333,0.40833333333333327,1.5404643659999238,,,0.5424679487179488,0.5752032520325203,0.6157407407407407,0.40833333333333327
