sweep,param,algorithm,trial,time_avg_spread,min_group_reach,runtime_s,n_seeds,round0_cost,group0_reach,group1_reach,group2_reach
alpha,1.0,kkt_greedy,0,137.43333333333334,0.7940476190476191,0.08366137100000515,20,100,0.8100529100529102,0.7940476190476191,0.8557823129251699
alpha,1.0,fair_greedy,0,139.46666666666667,0.8113095238095237,0.07400841200001196,20,100,0.8460317460317462,0.8113095238095237,0.8312925170068026
alpha,1.0,imm,0,142.33333333333334,0.838690476190476,0.07333404199999904,20,100,0.8486772486772488,0.838690476190476,0.8551020408163265
alpha,1.0,robust_kempe,0,137.06666666666666,0.7789115646258503,0.07071419299995796,12,60,0.8280423280423282,0.8345238095238096,0.7789115646258503
alpha,1.0,repeated_greedy,0,144.93333333333334,0.8551020408163263,13.573809966999988,,,0.8587301587301589,0.8738095238095239,0.8551020408163263
alpha,1.0,mf_bwi_fair,0,146.66666666666666,0.8682539682539684,1.2144536899999707,,,0.8682539682539684,0.8738095238095239,0.878231292517007
alpha,0.5,kkt_greedy,0,137.43333333333334,0.7940476190476191,0.08366137100000515,20,100,0.8100529100529102,0.7940476190476191,0.8557823129251699
alpha,0.5,fair_greedy,0,139.46666666666667,0.8113095238095237,0.07400841200001196,20,100,0.8460317460317462,0.8113095238095237,0.8312925170068026
alpha,0.5,imm,0,142.33333333333334,0.838690476190476,0.07333404199999904,20,100,0.8486772486772488,0.838690476190476,0.8551020408163265
alpha,0.5,robust_kempe,0,137.06666666666666,0.7789115646258503,0.07071419299995796,12,60,0.8280423280423282,0.8345238095238096,0.7789115646258503
alpha,0.5,repeated_greedy,0,144.93333333333334,0.8551020408163263,13.573809966999988,,,0.8587301587301589,0.8738095238095239,0.8551020408163263
alpha,0.5,mf_bwi_fair,0,144.8,0.8565476190476191,0.9702835389999791,,,0.8566137566137567,0.8565476190476191,0.8748299319727891
alpha,0.0,kkt_greedy,0,137.43333333333334,0.7940476190476191,0.08366137100000515,20,100,0.8100529100529102,0.7940476190476191,0.8557823129251699
alpha,0.0,fair_greedy,0,139.46666666666667,0.8113095238095237,0.07400841200001196,20,100,0.8460317460317462,0.8113095238095237,0.8312925170068026
alpha,0.0,imm,0,142.33333333333334,0.838690476190476,0.07333404199999904,20,100,0.8486772486772488,0.838690476190476,0.8551020408163265
alpha,0.0,robust_kempe,0,137.06666666666666,0.7789115646258503,0.07071419299995796,12,60,0.8280423280423282,0.8345238095238096,0.7789115646258503
alpha,0.0,repeated_greedy,0,144.93333333333334,0.8551020408163263,13.573809966999988,,,0.8587301587301589,0.8738095238095239,0.8551020408163263
alpha,0.0,mf_bwi_fair,0,146.66666666666666,0.869642857142857,0.9285455259999935,,,0.8735449735449736,0.869642857142857,0.8761904761904764
alpha,-2.0,kkt_greedy,0,137.43333333333334,0.7940476190476191,0.08366137100000515,20,100,0.8100529100529102,0.7940476190476191,0.8557823129251699
alpha,-2.0,fair_greedy,0,139.46666666666667,0.8113095238095237,0.07400841200001196,20,100,0.8460317460317462,0.8113095238095237,0.8312925170068026
alpha,-2.0,imm,0,142.33333333333334,0.838690476190476,0.07333404199999904,20,100,0.8486772486772488,0.838690476190476,0.8551020408163265
alpha,-2.0,robust_kempe,0,137.06666666666666,0.7789115646258503,0.07071419299995796,12,60,0.8280423280423282,0.8345238095238096,0.7789115646258503
alpha,-2.0,repeated_greedy,0,144.93333333333334,0.8551020408163263,13.573809966999988,,,0.8587301587301589,0.8738095238095239,0.8551020408163263
alpha,-2.0,mf_bwi_fair,0,148.46666666666667,0.8751322751322753,1.0987940659999822,,,0.8751322751322753,0.8827380952380951,0.8959183673469386
alpha,-8.0,kkt_greedy,0,137.43333333333334,0.7940476190476191,0.08366137100000515,20,100,0.8100529100529102,0.7940476190476191,0.8557823129251699
alpha,-8.0,fair_greedy,0,139.46666666666667,0.8113095238095237,0.07400841200001196,20,100,0.8460317460317462,0.8113095238095237,0.8312925170068026
alpha,-8.0,imm,0,142.33333333333334,0.838690476190476,0.07333404199999904,20,100,0.8486772486772488,0.838690476190476,0.8551020408163265
alpha,-8.0,robust_kempe,0,137.06666666666666,0.7789115646258503,0.07071419299995796,12,60,0.8280423280423282,0.8345238095238096,0.7789115646258503
alpha,-8.0,repeated_greedy,0,144.93333333333334,0.8551020408163263,13.573809966999988,,,0.8587301587301589,0.8738095238095239,0.8551020408163263
alpha,-8.0,mf_bwi_fair,0,146.43333333333334,0.8632653061224488,1.1877905659999897,,,0.8772486772486773,0.8726190476190477,0.8632653061224488
alpha,1.0,kkt_greedy,1,135.23333333333332,0.7857142857142857,0.10780638499999995,20,100,0.8105820105820107,0.8154761904761902,0.7857142857142857
alpha,1.0,fair_greedy,1,139.1,0.8222222222222225,0.09078569300000083,20,100,0.8222222222222225,0.8267857142857141,0.8367346938775511
alpha,1.0,imm,1,141.26666666666668,0.8275132275132278,0.09044620899999956,20,100,0.8275132275132278,0.8374999999999999,0.8619047619047618
alpha,1.0,robust_kempe,1,137.6,0.8083333333333335,0.08771791899999926,12,60,0.812698412698413,0.8083333333333335,0.8394557823129251
alpha,1.0,repeated_greedy,1,144.4,0.8421768707482993,13.978844268000003,,,0.8582010582010583,0.8761904761904763,0.8421768707482993
alpha,1.0,mf_bwi_fair,1,147.43333333333334,0.8684523809523809,1.0196857769999994,,,0.888888888888889,0.8684523809523809,0.8734693877551021
alpha,0.5,kkt_greedy,1,135.23333333333332,0.7857142857142857,0.10780638499999995,20,100,0.8105820105820107,0.8154761904761902,0.7857142857142857
alpha,0.5,fair_greedy,1,139.1,0.8222222222222225,0.09078569300000083,20,100,0.8222222222222225,0.8267857142857141,0.8367346938775511
alpha,0.5,imm,1,141.26666666666668,0.8275132275132278,0.09044620899999956,20,100,0.8275132275132278,0.8374999999999999,0.8619047619047618
alpha,0.5,robust_kempe,1,137.6,0.8083333333333335,0.08771791899999926,12,60,0.812698412698413,0.8083333333333335,0.8394557823129251
alpha,0.5,repeated_greedy,1,144.4,0.8421768707482993,13.978844268000003,,,0.8582010582010583,0.8761904761904763,0.8421768707482993
alpha,0.5,mf_bwi_fair,1,146.4,0.8661375661375662,0.9548419230000036,,,0.8661375661375662,0.8690476190476188,0.8809523809523809
alpha,0.0,kkt_greedy,1,135.23333333333332,0.7857142857142857,0.10780638499999995,20,100,0.8105820105820107,0.8154761904761902,0.7857142857142857
alpha,0.0,fair_greedy,1,139.1,0.8222222222222225,0.09078569300000083,20,100,0.8222222222222225,0.8267857142857141,0.8367346938775511
alpha,0.0,imm,1,141.26666666666668,0.8275132275132278,0.09044620899999956,20,100,0.8275132275132278,0.8374999999999999,0.8619047619047618
alpha,0.0,robust_kempe,1,137.6,0.8083333333333335,0.08771791899999926,12,60,0.812698412698413,0.8083333333333335,0.8394557823129251
alpha,0.0,repeated_greedy,1,144.4,0.8421768707482993,13.978844268000003,,,0.8582010582010583,0.8761904761904763,0.8421768707482993
alpha,0.0,mf_bwi_fair,1,146.83333333333334,0.8666666666666668,1.1636759589999954,,,0.8666666666666668,0.8738095238095238,0.883673469387755
alpha,-2.0,kkt_greedy,1,135.23333333333332,0.7857142857142857,0.10780638499999995,20,100,0.8105820105820107,0.8154761904761902,0.7857142857142857
alpha,-2.0,fair_greedy,1,139.1,0.8222222222222225,0.09078569300000083,20,100,0.8222222222222225,0.8267857142857141,0.8367346938775511
alpha,-2.0,imm,1,141.26666666666668,0.8275132275132278,0.09044620899999956,20,100,0.8275132275132278,0.8374999999999999,0.8619047619047618
alpha,-2.0,robust_kempe,1,137.6,0.8083333333333335,0.08771791899999926,12,60,0.812698412698413,0.8083333333333335,0.8394557823129251
alpha,-2.0,repeated_greedy,1,144.4,0.8421768707482993,13.978844268000003,,,0.8582010582010583,0.8761904761904763,0.8421768707482993
alpha,-2.0,mf_bwi_fair,1,148.23333333333332,0.87989417989418,1.1593001899999962,,,0.87989417989418,0.880952380952381,0.8870748299319727
alpha,-8.0,kkt_greedy,1,135.23333333333332,0.7857142857142857,0.10780638499999995,20,100,0.8105820105820107,0.8154761904761902,0.7857142857142857
alpha,-8.0,fair_greedy,1,139.1,0.8222222222222225,0.09078569300000083,20,100,0.8222222222222225,0.8267857142857141,0.8367346938775511
alpha,-8.0,imm,1,141.26666666666668,0.8275132275132278,0.09044620899999956,20,100,0.8275132275132278,0.8374999999999999,0.8619047619047618
alpha,-8.0,robust_kempe,1,137.6,0.8083333333333335,0.08771791899999926,12,60,0.812698412698413,0.8083333333333335,0.8394557823129251
alpha,-8.0,repeated_greedy,1,144.4,0.8421768707482993,13.978844268000003,,,0.8582010582010583,0.8761904761904763,0.8421768707482993
