sweep,param,algorithm,trial,time_avg_spread,min_group_reach,runtime_s,n_seeds,round0_cost,group0_reach,group1_reach,group2_reach
alpha,1.0,kkt_greedy,0,23.833333333333332,0.30333333333333334,0.007134056999802851,10,50,0.30333333333333334,0.3266666666666666,0.47555555555555545
alpha,1.0,fair_greedy,0,24.0,0.3166666666666666,0.007204036000075575,10,50,0.3166666666666666,0.4433333333333334,0.3988888888888889
alpha,1.0,imm,0,22.333333333333332,0.10000000000000003,0.008602695000263338,10,50,0.10000000000000003,0.28500000000000003,0.521111111111111
alpha,1.0,robust_kempe,0,22.466666666666665,0.26833333333333337,0.00653682599977401,7,35,0.2833333333333333,0.26833333333333337,0.47555555555555545
alpha,1.0,repeated_greedy,0,48.06666666666667,0.7577777777777778,0.5399425999999039,,,0.8766666666666666,0.8283333333333331,0.7577777777777778
alpha,1.0,mf_bwi_fair,0,49.666666666666664,0.7666666666666665,0.09419969800001127,,,0.9766666666666663,0.8449999999999999,0.7666666666666665
alpha,0.0,kkt_greedy,0,23.833333333333332,0.30333333333333334,0.007134056999802851,10,50,0.30333333333333334,0.3266666666666666,0.47555555555555545
alpha,0.0,fair_greedy,0,24.0,0.3166666666666666,0.007204036000075575,10,50,0.3166666666666666,0.4433333333333334,0.3988888888888889
alpha,0.0,imm,0,22.333333333333332,0.10000000000000003,0.008602695000263338,10,50,0.10000000000000003,0.28500000000000003,0.521111111111111
alpha,0.0,robust_kempe,0,22.466666666666665,0.26833333333333337,0.00653682599977401,7,35,0.2833333333333333,0.26833333333333337,0.47555555555555545
alpha,0.0,repeated_greedy,0,48.06666666666667,0.7577777777777778,0.5399425999999039,,,0.8766666666666666,0.8283333333333331,0.7577777777777778
alpha,0.0,mf_bwi_fair,0,50.36666666666667,0.8300000000000001,0.11475767599995379,,,0.8300000000000001,0.8533333333333332,0.8333333333333334
alpha,-4.0,kkt_greedy,0,23.833333333333332,0.30333333333333334,0.007134056999802851,10,50,0.30333333333333334,0.3266666666666666,0.47555555555555545
alpha,-4.0,fair_greedy,0,24.0,0.3166666666666666,0.007204036000075575,10,50,0.3166666666666666,0.4433333333333334,0.3988888888888889
alpha,-4.0,imm,0,22.333333333333332,0.10000000000000003,0.008602695000263338,10,50,0.10000000000000003,0.28500000000000003,0.521111111111111
alpha,-4.0,robust_kempe,0,22.466666666666665,0.26833333333333337,0.00653682599977401,7,35,0.2833333333333333,0.26833333333333337,0.47555555555555545
alpha,-4.0,repeated_greedy,0,48.06666666666667,0.7577777777777778,0.5399425999999039,,,0.8766666666666666,0.8283333333333331,0.7577777777777778
alpha,-4.0,mf_bwi_fair,0,50.7,0.8433333333333333,0.11673028400036856,,,0.8433333333333333,0.8433333333333333,0.8466666666666662
alpha,1.0,kkt_greedy,1,27.866666666666667,0.31666666666666654,0.00733598000033453,10,50,0.31666666666666654,0.48333333333333334,0.501111111111111
alpha,1.0,fair_greedy,1,18.2,0.2566666666666667,0.005125870000028954,10,50,0.28666666666666674,0.2566666666666667,0.33999999999999997
alpha,1.0,imm,1,24.133333333333333,0.36333333333333345,0.00594481000007363,10,50,0.36333333333333345,0.3950000000000001,0.42000000000000004
alpha,1.0,robust_kempe,1,15.666666666666666,0.14833333333333334,0.004374288999770215,8,40,0.18666666666666665,0.14833333333333334,0.36111111111111127
alpha,1.0,repeated_greedy,1,47.1,0.7511111111111112,0.49544405699998606,,,0.8766666666666666,0.7899999999999999,0.7511111111111112
alpha,1.0,mf_bwi_fair,1,50.03333333333333,0.7622222222222221,0.08683773600023414,,,0.98,0.8683333333333333,0.7622222222222221
alpha,0.0,kkt_greedy,1,27.866666666666667,0.31666666666666654,0.00733598000033453,10,50,0.31666666666666654,0.48333333333333334,0.501111111111111
alpha,0.0,fair_greedy,1,18.2,0.2566666666666667,0.005125870000028954,10,50,0.28666666666666674,0.2566666666666667,0.33999999999999997
alpha,0.0,imm,1,24.133333333333333,0.36333333333333345,0.00594481000007363,10,50,0.36333333333333345,0.3950000000000001,0.42000000000000004
alpha,0.0,robust_kempe,1,15.666666666666666,0.14833333333333334,0.004374288999770215,8,40,0.18666666666666665,0.14833333333333334,0.36111111111111127
alpha,0.0,repeated_greedy,1,47.1,0.7511111111111112,0.49544405699998606,,,0.8766666666666666,0.7899999999999999,0.7511111111111112
alpha,0.0,mf_bwi_fair,1,50.3,0.8288888888888887,0.10633674900009282,,,0.8399999999999997,0.8516666666666666,0.8288888888888887
alpha,-4.0,kkt_greedy,1,27.866666666666667,0.31666666666666654,0.00733598000033453,10,50,0.31666666666666654,0.48333333333333334,0.501111111111111
alpha,-4.0,fair_greedy,1,18.2,0.2566666666666667,0.005125870000028954,10,50,0.28666666666666674,0.2566666666666667,0.33999999999999997
alpha,-4.0,imm,1,24.133333333333333,0.36333333333333345,0.00594481000007363,10,50,0.36333333333333345,0.3950000000000001,0.42000000000000004
alpha,-4.0,robust_kempe,1,15.666666666666666,0.14833333333333334,0.004374288999770215,8,40,0.18666666666666665,0.14833333333333334,0.36111111111111127
alpha,-4.0,repeated_greedy,1,47.1,0.7511111111111112,0.49544405699998606,,,0.8766666666666666,0.7899999999999999,0.7511111111111112
alpha,-4.0,mf_bwi_fair,1,52.06666666666667,0.8566666666666666,0.13255295599992678,,,0.8566666666666666,0.8649999999999999,0.8733333333333331
alpha,1.0,kkt_greedy,2,28.2,0.23666666666666666,0.007185730999935913,10,50,0.23666666666666666,0.46166666666666667,0.5533333333333331
alpha,1.0,fair_greedy,2,25.266666666666666,0.35333333333333333,0.006523464000110835,10,50,0.37666666666666665,0.35333333333333333,0.48111111111111093
