sweep,param,algorithm,trial,time_avg_spread,min_group_reach,runtime_s,n_seeds,round0_cost,group0_reach,group1_reach,group2_reach
beta,0.0,kkt_greedy,0,32.166666666666664,0.44000000000000006,0.00856534600006853,10,50,0.44000000000000006,0.5183333333333334,0.5799999999999998
beta,0.0,fair_greedy,0,34.833333333333336,0.49666666666666665,0.007683653000185586,10,50,0.49666666666666665,0.5866666666666667,0.6044444444444445
beta,0.0,imm,0,35.266666666666666,0.43333333333333335,0.007770849999815255,10,50,0.43333333333333335,0.48833333333333334,0.7055555555555558
beta,0.0,robust_kempe,0,33.2,0.3733333333333333,0.007602948000112519,8,40,0.3733333333333333,0.5083333333333333,0.6433333333333333
beta,0.0,mf_bwi_fair,0,52.1,0.8377777777777777,0.11290068000016618,,,0.9533333333333333,0.8716666666666666,0.8377777777777777
beta,0.0,repeated_greedy,0,50.733333333333334,0.8055555555555554,0.5214730289999352,,,0.97,0.8433333333333333,0.8055555555555554
beta,0.15,kkt_greedy,0,26.6,0.23,0.0069962269999450655,10,50,0.23,0.42666666666666675,0.5255555555555554
beta,0.15,fair_greedy,0,30.0,0.3633333333333334,0.00698957899976449,10,50,0.3633333333333334,0.4666666666666667,0.5677777777777776
beta,0.15,imm,0,32.53333333333333,0.3966666666666667,0.007302034999611351,10,50,0.3966666666666667,0.5433333333333332,0.5899999999999997
beta,0.15,robust_kempe,0,30.166666666666668,0.3366666666666667,0.0068136110003251815,8,40,0.3366666666666667,0.40166666666666667,0.6255555555555554
beta,0.15,mf_bwi_fair,0,52.93333333333333,0.8666666666666667,0.12518095099994753,,,0.9466666666666665,0.8666666666666667,0.871111111111111
beta,0.15,repeated_greedy,0,51.6,0.831111111111111,0.5416292390000308,,,0.9866666666666667,0.8399999999999999,0.831111111111111
beta,0.3,kkt_greedy,0,25.133333333333333,0.37333333333333335,0.006125066000095103,10,50,0.4133333333333333,0.37333333333333335,0.4511111111111112
beta,0.3,fair_greedy,0,27.333333333333332,0.34333333333333343,0.006454847999975755,10,50,0.34333333333333343,0.39500000000000013,0.5333333333333332
beta,0.3,imm,0,28.733333333333334,0.3333333333333333,0.05435102299998107,10,50,0.3333333333333333,0.37166666666666665,0.5988888888888887
beta,0.3,robust_kempe,0,23.0,0.3,0.005943222000041715,8,40,0.3,0.3316666666666667,0.4455555555555556
beta,0.3,mf_bwi_fair,0,51.6,0.8511111111111107,0.1261161299999003,,,0.8666666666666666,0.87,0.8511111111111107
beta,0.3,repeated_greedy,0,48.86666666666667,0.7799999999999999,0.5327619810000215,,,0.9366666666666668,0.8049999999999999,0.7799999999999999
beta,0.5,kkt_greedy,0,27.733333333333334,0.28333333333333327,0.009371838999868487,10,50,0.28333333333333327,0.44000000000000017,0.5366666666666666
beta,0.5,fair_greedy,0,26.966666666666665,0.3266666666666668,0.0066659049998634146,10,50,0.3266666666666668,0.4583333333333332,0.4844444444444444
beta,0.5,imm,0,29.233333333333334,0.35000000000000003,0.00673411199977636,10,50,0.4900000000000001,0.35000000000000003,0.5777777777777777
beta,0.5,robust_kempe,0,26.833333333333332,0.24666666666666673,0.006445232000260148,8,40,0.24666666666666673,0.3733333333333333,0.5633333333333332
beta,0.5,mf_bwi_fair,0,50.9,0.8266666666666664,0.11531367599991427,,,0.88,0.8649999999999997,0.8266666666666664
beta,0.5,repeated_greedy,0,47.666666666666664,0.7644444444444446,0.4924846109997816,,,0.9366666666666666,0.7683333333333333,0.7644444444444446
beta,0.0,kkt_greedy,1,32.166666666666664,0.37000000000000005,0.008977398999832076,10,50,0.37000000000000005,0.6516666666666668,0.5144444444444444
