sweep,param,algorithm,trial,time_avg_spread,min_group_reach,runtime_s,n_seeds,round0_cost,group0_reach,group1_reach,group2_reach
q,0.0,kkt_greedy,0,37.266666666666666,0.46666666666666656,0.009955521999927441,10,50,0.46666666666666656,0.63,0.6666666666666665
q,0.0,fair_greedy,0,35.06666666666667,0.5533333333333335,0.008232643999690481,10,50,0.6633333333333336,0.5916666666666668,0.5533333333333335
q,0.0,imm,0,34.96666666666667,0.44500000000000006,0.008222932000080618,10,50,0.5133333333333333,0.44500000000000006,0.6977777777777777
q,0.0,robust_kempe,0,30.5,0.18000000000000002,0.007239400999878853,7,35,0.18000000000000002,0.5099999999999999,0.6166666666666666
q,0.0,mf_bwi_fair,0,53.266666666666666,0.8699999999999998,0.17453071299996736,,,0.963333333333333,0.8766666666666667,0.8699999999999998
q,0.0,repeated_greedy,0,53.166666666666664,0.8422222222222219,0.563723721000315,,,0.973333333333333,0.9083333333333333,0.8422222222222219
q,0.1,kkt_greedy,0,23.333333333333332,0.15000000000000005,0.00628779199996643,10,50,0.15000000000000005,0.4049999999999999,0.4577777777777778
q,0.1,fair_greedy,0,21.3,0.19166666666666662,0.0057070450002356665,10,50,0.5066666666666666,0.19166666666666662,0.4133333333333332
q,0.1,imm,0,23.9,0.2566666666666666,0.006043560999842157,10,50,0.4066666666666667,0.2566666666666666,0.48999999999999994
q,0.1,robust_kempe,0,18.1,0.1566666666666667,0.004793678999703843,7,35,0.1566666666666667,0.19666666666666666,0.41999999999999993
q,0.1,mf_bwi_fair,0,51.3,0.8455555555555555,0.1298864370000956,,,0.88,0.8566666666666666,0.8455555555555555
q,0.1,repeated_greedy,0,47.9,0.7544444444444446,0.49541391399998247,,,0.8699999999999997,0.8283333333333333,0.7544444444444446
q,0.2,kkt_greedy,0,11.666666666666666,0.10666666666666672,0.004237449999891396,10,50,0.10666666666666672,0.11333333333333331,0.27777777777777773
q,0.2,fair_greedy,0,13.8,0.20555555555555563,0.004386861000057252,10,50,0.21666666666666667,0.27333333333333326,0.20555555555555563
q,0.2,imm,0,12.233333333333333,0.029999999999999995,0.003985971000020072,10,50,0.029999999999999995,0.1633333333333333,0.28888888888888886
q,0.2,robust_kempe,0,6.9,0.048333333333333346,0.003456791000189696,7,35,0.10000000000000002,0.048333333333333346,0.16444444444444445
q,0.2,mf_bwi_fair,0,48.56666666666667,0.7977777777777777,0.10286872000006042,,,0.8366666666666667,0.8133333333333332,0.7977777777777777
q,0.2,repeated_greedy,0,42.6,0.68,0.4526340310003434,,,0.8066666666666666,0.7066666666666667,0.68
q,0.4,kkt_greedy,0,4.533333333333333,0.048333333333333346,0.0030630579999524343,10,50,0.09666666666666668,0.048333333333333346,0.0866666666666667
q,0.4,fair_greedy,0,1.7666666666666666,0.015555555555555555,0.002295266000146512,10,50,0.06333333333333334,0.03333333333333333,0.015555555555555555
q,0.4,imm,0,3.933333333333333,0.021666666666666667,0.0026907880001090234,10,50,0.043333333333333335,0.021666666666666667,0.10222222222222221
q,0.4,robust_kempe,0,1.9666666666666666,0.0,0.0022800980000283744,7,35,0.0,0.025000000000000005,0.0488888888888889
q,0.4,mf_bwi_fair,0,47.1,0.73,0.09964003899995078,,,0.73,0.8233333333333329,0.7777777777777778
q,0.4,repeated_greedy,0,31.4,0.49444444444444435,0.34015141899999435,,,0.5766666666666665,0.5399999999999999,0.49444444444444435
q,0.0,kkt_greedy,1,32.86666666666667,0.3766666666666667,0.007982339000136562,10,50,0.3766666666666667,0.5333333333333333,0.6144444444444445
q,0.0,fair_greedy,1,37.733333333333334,0.5466666666666664,0.008334838999871863,10,50,0.5466666666666664,0.5916666666666667,0.6811111111111111
q,0.0,imm,1,38.333333333333336,0.5399999999999998,0.009039811000093323,10,50,0.5399999999999998,0.6033333333333335,0.6955555555555556
q,0.0,robust_kempe,1,31.7,0.1766666666666667,0.007551100000000588,7,35,0.1766666666666667,0.5199999999999999,0.6511111111111113
q,0.0,mf_bwi_fair,1,52.833333333333336,0.8611111111111112,0.13224654700024985,,,0.9599999999999996,0.87,0.8611111111111112
q,0.0,repeated_greedy,1,52.56666666666667,0.8416666666666666,0.5478310759999658,,,0.99,0.8416666666666666,0.8611111111111109
q,0.1,kkt_greedy,1,21.5,0.06666666666666668,0.005941265000274143,10,50,0.06666666666666668,0.30666666666666664,0.4899999999999999
q,0.1,fair_greedy,1,18.666666666666668,0.15833333333333327,0.005036746999849129,10,50,0.26,0.15833333333333327,0.4299999999999999
q,0.1,imm,1,17.866666666666667,0.12833333333333327,0.004928924999603623,10,50,0.2599999999999999,0.12833333333333327,0.4233333333333333
q,0.1,robust_kempe,1,26.333333333333332,0.11,0.006474895999872388,7,35,0.11,0.45500000000000007,0.5377777777777776
q,0.1,mf_bwi_fair,1,50.266666666666666,0.8149999999999998,0.1094825709997167,,,0.8799999999999997,0.8149999999999998,0.8388888888888888
q,0.1,repeated_greedy,1,50.4,0.7766666666666667,0.5271604480003589,,,0.9566666666666666,0.7766666666666667,0.8433333333333333
q,0.2,kkt_greedy,1,15.266666666666667,0.10333333333333336,0.004903713000203425,10,50,0.10333333333333336,0.19499999999999995,0.3444444444444446
q,0.2,fair_greedy,1,11.066666666666666,0.09833333333333334,0.0038547999997717852,10,50,0.2066666666666667,0.09833333333333334,0.2344444444444444
q,0.2,imm,1,14.2,0.09333333333333332,0.0046778410001024895,10,50,0.1833333333333332,0.09333333333333332,0.35000000000000003
q,0.2,robust_kempe,1,13.433333333333334,0.06666666666666667,0.004427294999914011,7,35,0.06666666666666667,0.13666666666666666,0.33444444444444443
q,0.2,mf_bwi_fair,1,48.2,0.7799999999999998,0.10036775700018552,,,0.7799999999999998,0.8433333333333333,0.7844444444444442
q,0.2,repeated_greedy,1,44.233333333333334,0.6933333333333336,0.4572612609999851,,,0.85,0.7466666666666667,0.6933333333333336
q,0.4,kkt_greedy,1,3.966666666666667,0.026666666666666665,0.0029457400000865164,10,50,0.026666666666666665,0.03166666666666667,0.10222222222222221
q,0.4,fair_greedy,1,1.9333333333333333,0.014444444444444444,0.0023258200003510865,10,50,0.02666666666666667,0.06166666666666666,0.014444444444444444
q,0.4,imm,1,7.233333333333333,0.09333333333333334,0.0032465330000377435,10,50,0.09333333333333334,0.1016666666666667,0.14222222222222222
q,0.4,robust_kempe,1,3.7333333333333334,0.016666666666666666,0.0027478719998725865,7,35,0.016666666666666666,0.040000000000000015,0.09222222222222222
q,0.4,mf_bwi_fair,1,48.13333333333333,0.791111111111111,0.10007869899982325,,,0.8166666666666668,0.8116666666666663,0.791111111111111
q,0.4,repeated_greedy,1,36.2,0.5744444444444446,0.3871893530003945,,,0.7099999999999997,0.5933333333333335,0.5744444444444446
q,0.0,kkt_greedy,2,39.96666666666667,0.4733333333333333,0.009467384999879869,10,50,0.4733333333333333,0.6549999999999999,0.7377777777777779
q,0.0,fair_greedy,2,35.13333333333333,0.3733333333333334,0.007975522999913665,10,50,0.3733333333333334,0.5833333333333334,0.6577777777777778
q,0.0,imm,2,38.9,0.41333333333333333,0.008823290000236739,10,50,0.41333333333333333,0.6716666666666666,0.711111111111111
q,0.0,robust_kempe,2,35.36666666666667,0.2133333333333333,0.007606877999933204,8,40,0.2133333333333333,0.68,0.6544444444444445
q,0.0,mf_bwi_fair,2,51.93333333333333,0.8455555555555553,0.13000434400009908,,,0.8899999999999998,0.8833333333333332,0.8455555555555553
q,0.0,repeated_greedy,2,53.43333333333333,0.8488888888888886,0.5578474650001226,,,1.0,0.8983333333333333,0.8488888888888886
q,0.1,kkt_greedy,2,25.0,0.18,0.0066911919998347,10,50,0.18,0.34833333333333333,0.541111111111111
q,0.1,fair_greedy,2,24.833333333333332,0.28666666666666657,0.006047727999884955,10,50,0.28666666666666657,0.3499999999999999,0.4988888888888888
q,0.1,imm,2,20.5,0.12666666666666665,0.005408266000358708,10,50,0.12666666666666665,0.315,0.43111111111111106
q,0.1,robust_kempe,2,23.866666666666667,0.33333333333333337,0.005860854999809817,8,40,0.33333333333333337,0.37166666666666676,0.43666666666666654
q,0.1,mf_bwi_fair,2,50.266666666666666,0.8122222222222221,0.11977548899994872,,,0.8566666666666669,0.8666666666666665,0.8122222222222221
q,0.1,repeated_greedy,2,48.93333333333333,0.7722222222222224,0.49224777899962646,,,0.8666666666666666,0.8549999999999998,0.7722222222222224
q,0.2,kkt_greedy,2,13.533333333333333,0.12000000000000002,0.004615821999777836,10,50,0.12000000000000002,0.1366666666666667,0.32000000000000006
q,0.2,fair_greedy,2,12.8,0.05666666666666668,0.004192705000150454,10,50,0.05666666666666668,0.145,0.3111111111111111
q,0.2,imm,2,17.066666666666666,0.12333333333333331,0.00468085800002882,10,50,0.12333333333333331,0.3116666666666667,0.32000000000000006
q,0.2,robust_kempe,2,17.1,0.17666666666666667,0.004961868999998842,8,40,0.17666666666666667,0.2583333333333334,0.33888888888888896
q,0.2,mf_bwi_fair,2,50.833333333333336,0.8366666666666664,0.09842689999959475,,,0.8666666666666666,0.8533333333333332,0.8366666666666664
q,0.2,repeated_greedy,2,45.06666666666667,0.7233333333333332,0.4657348450000427,,,0.8633333333333333,0.7233333333333332,0.7322222222222223
q,0.4,kkt_greedy,2,4.2,0.0033333333333333335,0.00298484599989024,10,50,0.0033333333333333335,0.09499999999999999,0.07555555555555557
q,0.4,fair_greedy,2,8.366666666666667,0.029999999999999995,0.0033860259995890374,10,50,0.029999999999999995,0.07,0.22222222222222227
q,0.4,imm,2,5.366666666666666,0.02166666666666667,0.0029404599999907077,10,50,0.05666666666666667,0.02166666666666667,0.14555555555555558
q,0.4,robust_kempe,2,2.033333333333333,0.0,0.0022852689999126596,8,40,0.0,0.013333333333333334,0.05888888888888891
